COUNTRIES,WEIGHTED_WORLD_DEATH,WEIGHTED_GOUVERNANCE,WEIGHTED_EDUCATION,WEIGHTED_GDP,WEIGHTED_HCI
Cabo Verde,-0.5742525864032304,10.8788705000000000000000,2.406589453200000000000,8.3566201534269200,30.1449102977934000
Sri Lanka,0.2422601283743746,-2.5264790600000000000000,1.687205123600000000000,14.4021657937269620,37.2102966332060000
Thailand,0.08184659507700656,-7.6151667200000000000000,2.035735579600000000000,18.7624171337701000,37.5528421750878000
Timor-Leste,-2.791084381349322,-6.4085967600000000000000,2.042104986600000000000,25.8463326149987484,31.6056310703010000
Paraguay,-0.8450593571279792,-5.0113932400000000000000,1.983073327000000000000,18.3091031182917140,35.7065823014986000
Vanuatu,-1.207235409428204,3.2576450200000000000000,1.108507313800000000000,13.5718489982268600,32.4610305943442000
Philippines,-1.38297619063640,-5.5228629800000000000000,2.273514512600000000000,19.5685973572335600,34.1394534690178000
Jamaica,-0.4893917034312822,6.8902111400000000000000,2.291498698400000000000,4.1708668159273800,35.8758219786080000
Moldova,-0.6274755510568878,-5.3197261200000000000000,2.729800761400000000000,14.3801304885041000,36.9239834794182000
Bosnia and Herzegovina,0.330477632279854,-7.2256420800000000000000,0.529411765000000000000,16.9315917377940960,37.1202692315928000
South Africa,-1.606504423720362,4.9141676200000000000000,2.675359449200000000000,9.9268441386841400,30.6939257235064000
Benin,-5.411717542237714,-4.5141359200000000000000,1.959268395200000000000,23.2199780728065000,30.5535396574084000
Rwanda,-2.463738704734982,-4.0295892800000000000000,1.550564486600000000000,20.9951668102991800,28.9110641271551000
Bangladesh,-2.055154245113968,-17.3782514400000000000000,1.271289227600000000000,30.3373917336702600,32.6401089301453000
Sao Tome and Principe,-0.6487729674911368,-3.3797914000000000000000,2.295654648800000000000,16.0534714044130400,30.1449102977934000
Jordan,-0.5396178611573418,-4.5395712600000000000000,1.713113776400000000000,12.0979474672481828,35.5715315602544000
Fiji,-1.225866198456068,3.4002510400000000000000,1.750906080600000000000,5.6759298639927660,34.6343572566410000
Cote d'Ivoire,-5.523251516162654,-10.6874766400000000000000,2.329490178600000000000,27.7440147886008200,29.2537891050628000
Tanzania,-3.058497231079512,-10.9136721000000000000000,2.280968443200000000000,24.5824337656354000,29.5921788087708000
Ethiopia,-3.619864834324528,-21.5391901000000000000000,2.810654273000000000000,35.3091404426651400,29.1474230974807000
Kenya,-2.730324717889546,-10.9776949400000000000000,2.688701334000000000000,18.4060227845522220,34.6643626775193000
Nepal,-1.904093136925346,-11.4915773000000000000000,2.111003531000000000000,19.2711787348819080,33.6729788002201000
Turkmenistan,-2.889170257122608,-31.5598622000000000000000,2.638574816000000000000,37.2618684358203200,36.1875115476206000
El Salvador,-0.271482330731783,-2.9653022000000000000000,2.256782121600000000000,7.1308029281409000,35.4712917324937000
Maldives,0.2274267960871616,-7.4929133200000000000000,1.709126016600000000000,10.7902845165980800,36.1875115476206000
Belarus,0.634705473999475,-14.2120053200000000000000,2.087114196000000000000,12.9428725371295100,39.8554677576423000
Guinea,-5.831098956893578,-17.5819852000000000000000,1.565761464400000000000,34.0012930091253600,29.0973678080126000
Ukraine,0.07888777859758326,-11.6158255600000000000000,2.297202081600000000000,11.8776568772576120,38.2951585449578000
Solomon Islands,-0.7224860127381776,-2.6798474000000000000000,0.000000000000000000000,13.3503348559680220,30.9358302732752000
Myanmar,-3.035589454194916,-19.2568503800000000000000,1.244074255600000000000,29.1388840586290000,32.7729886889550000
Burkina Faso,-5.081636346968408,-9.5943689200000000000000,2.873232489600000000000,22.7753647137274800,29.7200089107945000
Namibia,-2.668721431006942,6.4427766000000000000000,3.417106944200000000000,1.6418184595273520,31.5969670755255000
Uzbekistan,-0.531404435973369,-22.2109575400000000000000,2.958652444200000000000,22.3250261981428200,37.7373903428367000
Cambodia,-1.51814393777462,-15.2051941000000000000000,0.920010676000000000000,22.8722421864254600,33.1028533341617000
Guatemala,-1.178009976397664,-9.9560181200000000000000,2.873230854200000000000,16.4665127291971600,31.5661189697578000
Tajikistan,-1.878951227156444,-25.0942546800000000000000,2.493669489000000000000,28.3709380798724000,34.5217132097876000
"Egypt, Arab Rep.",-0.9271514614026294,-20.7558577200000000000000,0.705882353000000000000,25.0249175391903000,34.0007517899263000
Belize,-0.3398141584354666,-2.3609143200000000000000,2.953860335400000000000,1.5871311162761840,36.0992129886973000
Lao PDR,-3.023307254686518,-17.0189277000000000000000,0.529411765000000000000,25.2690526495259400,32.1461154128336000
Bolivia,-1.472831754219946,-10.8102671000000000000000,0.823529412000000000000,11.8421344458897800,36.8466505865979000
Djibouti,-4.276497725946682,-18.7025502000000000000000,2.021950016600000000000,27.9971741690730060,30.1449102977934000
Morocco,-0.9459890031073834,-7.2913693600000000000000,0.881616951400000000000,9.5312148120802540,34.9298357226613000
"Gambia, The",-3.517769670062312,-9.6309833200000000000000,1.625931281600000000000,17.1238273933499158,31.3099579044258000
Kyrgyz Republic,-0.9807273525176334,-11.3486562800000000000000,2.490048214600000000000,9.3276747427592800,37.1337735100217000
Uganda,-2.83370030755993,-12.3860573600000000000000,1.509185894200000000000,20.4584453938971600,29.2711350744798000
Tunisia,-0.7369090729907698,-4.9712907600000000000000,1.613484015000000000000,4.5842018273387600,35.5127115242957000
Ecuador,-0.2414589311508784,-8.7565295600000000000000,2.284658884000000000000,5.8789017346416240,36.5911820231955000
Suriname,-0.8704840149483908,-2.6243568200000000000000,2.308759187400000000000,-0.5467684829423000,36.8466505865979000
Malawi,-2.640656741494032,-8.9714152800000000000000,1.965647920800000000000,14.6768337746187140,29.9341980253948000
Togo,-4.126932676525868,-15.6356385800000000000000,2.681183806400000000000,19.1435909338199680,31.4171554313207000
Honduras,-0.6045738590786674,-11.9397061400000000000000,2.817434006400000000000,9.0777449210569600,33.4084130376972000
Gabon,-2.665048127215156,-15.8583085800000000000000,1.917055493600000000000,16.4620572399919960,32.6778490886149000
Cuba,0.5202515399705726,-14.1922825200000000000000,0.529411765000000000000,8.9821142516341400,36.0992129886973000
Niger,-4.569979540821852,-15.9278059000000000000000,1.391130233200000000000,24.8011881513977200,25.5567752427197000
Papua New Guinea,-2.996146047787848,-9.7812418800000000000000,0.867285373600000000000,12.8051820704476500,30.2271696895463000
Zambia,-3.82819812075949,-8.1193633200000000000000,2.003226781400000000000,11.2446096671791860,29.5382462372740000
"Iran, Islamic Rep.",-0.3798026836753906,-24.0717326600000000000000,2.407534774800000000000,15.3642590876722000,36.6754677644236000
West Bank and Gaza,-0.7234886866008746,-16.0243933000000000000000,2.468244876800000000000,6.7358116938650800,37.1603150670489000
Algeria,-1.330200000930516,-19.6088988600000000000000,2.523717122400000000000,11.2260196273414200,35.9430354639277000
Sierra Leone,-6.994439124085708,-11.0929738000000000000000,3.174846814200000000000,14.5255765987138960,28.3280892298413000
Mauritania,-4.849673699370964,-15.7756208400000000000000,1.429837581000000000000,17.0475094511991040,29.8897898475970000
Azerbaijan,-0.970259671717861,-16.3048094800000000000000,1.502595668400000000000,4.5178924149110640,36.5242319817789000
