Country_Name,Country Code,Year,Control_of_Corruption_Score,Government_Effectiveness_Score,Political_Stability_Score,Regulatory_Quality_Score,Rule_of_Law_Score,Free_Speech_Score,Weighted_Governance
Andorra,AND,2020,1.314374,1.825594,1.618512,1.339709,1.698638,1.089068,29.511169
Angola,AGO,2016,-1.439528,-1.03597,-0.3158988,-1.00138,-1.087554,-1.1396,-20.1826152
Angola,AGO,2017,-1.410953,-1.026034,-0.380449,-1.042228,-1.101168,-1.097939,-20.321746
Angola,AGO,2018,-1.139192,-1.045002,-0.3356918,-0.8776826,-1.048343,-0.9063034,-17.6307336
Angola,AGO,2019,-1.054451,-1.11754,-0.358525,-0.8940375,-1.054597,-0.7835322,-17.1215997
Angola,AGO,2020,-0.9270931,-1.181797,-0.520679,-0.9085017,-0.9631715,-0.8106282,-17.8517424
Anguilla,AIA,2016,1.228804,1.328458,1.315344,0.8714429,-0.0846848,0,15.9768877
Anguilla,AIA,2017,1.245126,0.8380581,1.389452,0.844159,-0.1025973,0,14.680432
Anguilla,AIA,2018,1.239041,0.828413,1.287406,0.8234454,-0.0985886,0,14.1315834
Anguilla,AIA,2019,1.234696,0.8155248,1.355694,0.8463107,0.3557552,0,14.9260511
Anguilla,AIA,2020,0.6787988,0.9790366,1.540881,0.9409034,0.4361146,0,15.598863
Antigua and Barbuda,ATG,2016,0.6938039,0.2652237,0.8786072,0.3414612,0.5088214,0.6336627,11.7158113
Antigua and Barbuda,ATG,2017,0.2442875,0.0113757,0.748045,0.2530876,0.4458083,0.6085795,8.8776054
Antigua and Barbuda,ATG,2018,0.2775422,-0.0082157,0.8408569,0.4139312,0.4153409,0.5700647,9.79925
Antigua and Barbuda,ATG,2019,0.2784069,-0.0041234,0.9535552,0.4854296,0.4052342,0.7332423,11.5905004
Antigua and Barbuda,ATG,2020,0.2752807,-0.149707,0.9338933,0.5125659,0.4520202,0.7448558,11.3209981
Argentina,ARG,2016,-0.2839309,0.1618781,0.2046255,-0.4696253,-0.3937469,0.4933509,0.9545065
Argentina,ARG,2017,-0.2581808,0.1445933,0.1695043,-0.2898896,-0.2492861,0.5286481,2.06859
Argentina,ARG,2018,-0.0687873,0.0272682,0.0108914,-0.2906713,-0.2436714,0.5323461,1.4848443
Argentina,ARG,2019,-0.0762876,-0.0869984,-0.0914442,-0.4932295,-0.4306342,0.5740061,-0.2320923
Argentina,ARG,2020,-0.1163816,-0.2169417,0.0364368,-0.5673085,-0.4693715,0.5941538,-0.4788323
Armenia,ARM,2016,-0.571828,-0.1583772,-0.6622638,0.2500556,-0.119234,-0.5792814,-6.6124872
Armenia,ARM,2017,-0.5633132,-0.1026952,-0.6207712,0.2805222,-0.1606279,-0.5608286,-6.0407853
Armenia,ARM,2018,-0.3475996,-0.0284142,-0.4449081,0.3279592,-0.1494592,-0.1379438,-1.8974002
Armenia,ARM,2019,-0.1782838,-0.0666463,-0.4134244,0.249007,-0.13098,0.0554766,-0.7632895
Armenia,ARM,2020,0.031597,-0.1242361,-0.5712944,0.2500479,-0.0832231,0.0446616,-1.1597059
Aruba,ABW,2016,1.285871,0.8928662,1.284199,1.347553,1.261825,1.279368,26.0629346
Aruba,ABW,2017,1.294589,0.9199638,1.335038,1.194347,1.335014,1.295541,25.7692164
Aruba,ABW,2018,1.252447,1.056812,1.356553,0.8561839,1.297677,1.271613,24.3098165
Aruba,ABW,2019,1.217546,1.029622,1.349796,0.8574405,1.26335,1.264411,24.0601605
Aruba,ABW,2020,1.235405,1.129532,1.384053,0.9238698,1.306116,1.289108,25.055731
Australia,AUS,2016,1.816108,1.568043,1.047958,1.896966,1.755667,1.353702,31.890886
Australia,AUS,2017,1.798351,1.538219,0.8960608,1.933411,1.686461,1.375636,31.4029342
Australia,AUS,2018,1.805214,1.595232,0.989604,1.902706,1.715382,1.380593,31.86701
Australia,AUS,2019,1.825413,1.571555,0.9117457,1.873689,1.734473,1.267441,30.7200378
Australia,AUS,2020,1.665165,1.619163,0.8487522,1.816904,1.651188,1.304121,30.1432618
Austria,AUT,2016,1.539869,1.510521,0.9096388,1.440436,1.800264,1.337481,28.2771862
Austria,AUT,2017,1.545208,1.507205,1.046833,1.440179,1.84235,1.385913,29.158086
Austria,AUT,2018,1.605723,1.494416,0.902334,1.531354,1.896155,1.387745,29.183425
Austria,AUT,2019,1.557738,1.527737,0.9167479,1.459237,1.904162,1.338795,28.5987956
Austria,AUT,2020,1.509674,1.655057,0.851911,1.401355,1.810441,1.398979,28.603253
Azerbaijan,AZE,2016,-0.8383624,-0.165814,-0.8038791,-0.2820228,-0.5200193,-1.561036,-16.6860325
Azerbaijan,AZE,2017,-0.8853079,-0.1726412,-0.7479199,-0.2449824,-0.5575179,-1.563684,-16.4447529
Azerbaijan,AZE,2018,-0.8364836,-0.158052,-0.7067598,-0.1973939,-0.587534,-1.511334,-15.6166699
Azerbaijan,AZE,2019,-0.8379928,-0.1401703,-0.6859124,-0.2269891,-0.5771515,-1.529508,-15.7292911
Azerbaijan,AZE,2020,-1.048197,-0.1702325,-0.7252154,-0.3147717,-0.6910434,-1.545741,-17.047301
"Bahamas, The",BHS,2016,1.108086,0.7191967,0.9754187,0.2575893,0.2602585,0.8521555,14.9365749
"Bahamas, The",BHS,2017,1.176681,0.5790182,0.9895855,0.1230418,0.1914401,0.8495829,13.9529051
"Bahamas, The",BHS,2018,1.131582,0.5372647,0.8628951,0.1802535,0.0970907,0.7648554,12.9140291
"Bahamas, The",BHS,2019,1.137568,0.4858155,0.8162377,-0.0482854,0.0764876,0.9062235,12.2699349
"Bahamas, The",BHS,2020,1.137461,0.4521627,0.849964,0.0138412,0.0620066,0.9186843,12.6745845
Bahrain,BHR,2016,-0.0157671,0.3275663,-0.7934257,0.6082391,0.4563531,-1.372085,-6.9574995
Bahrain,BHR,2017,-0.1390255,0.1955773,-0.9615637,0.4164841,0.4492349,-1.387303,-9.3297365
Bahrain,BHR,2018,-0.1461672,0.1777807,-0.8504526,0.4166367,0.4128062,-1.421445,-9.193483
Bahrain,BHR,2019,-0.0096477,0.2984906,-0.6273595,0.4851534,0.4944274,-1.429295,-7.2888372
Bahrain,BHR,2020,-0.0655486,0.4287471,-0.5911913,0.6258294,0.491358,-1.457495,-6.3340861
Bangladesh,BGD,2016,-0.8569472,-0.678781,-1.261937,-0.7966801,-0.6636689,-0.5838786,-16.9483264
Bangladesh,BGD,2017,-0.8317032,-0.7350984,-1.256081,-0.8055848,-0.6718881,-0.6150656,-17.2832313
Bangladesh,BGD,2018,-0.8999589,-0.7402487,-0.9956784,-0.8343157,-0.6409807,-0.747334,-17.2999407
Bangladesh,BGD,2019,-0.9934731,-0.7402849,-0.9329753,-0.9290726,-0.6363772,-0.7418209,-17.6723677
Bangladesh,BGD,2020,-0.9782742,-0.7878783,-0.9173985,-0.9019138,-0.5731802,-0.7691441,-17.6873911
Barbados,BRB,2016,1.257388,1.081779,0.9766099,0.4810649,0.7951409,1.085793,19.381776
Barbados,BRB,2017,1.424147,0.8445573,0.9668277,0.4947271,0.660408,1.113587,19.0648422
Barbados,BRB,2018,1.411714,0.4250214,0.9134325,0.5435893,0.3950066,1.091533,17.4143733
Barbados,BRB,2019,1.196289,0.6311362,1.049227,0.4123509,0.3570479,1.102872,17.518929
Barbados,BRB,2020,1.22592,0.4893115,1.129196,0.4801968,0.3377488,1.131755,17.9658213
Belarus,BLR,2016,-0.2569613,-0.478073,0.1422815,-0.9412614,-0.7162234,-1.339445,-14.838216
Belarus,BLR,2017,-0.2574071,-0.3413015,-0.0534834,-0.7347551,-0.8187015,-1.356029,-14.3813033
Belarus,BLR,2018,-0.1850613,-0.295147,0.3480572,-0.6494673,-0.830292,-1.366688,-12.1410913
Belarus,BLR,2019,-0.0375447,-0.1843532,0.3323891,-0.5432242,-0.7943493,-1.407983,-11.2569609
Belarus,BLR,2020,-0.1682376,-0.7293182,-0.7303549,-0.649549,-0.9959167,-1.458824,-18.4424551
Belgium,BEL,2016,1.574584,1.433041,0.4413673,1.340684,1.429943,1.377026,25.6092792
Belgium,BEL,2017,1.447792,1.278846,0.4281858,1.24688,1.358459,1.338482,24.0686162
Belgium,BEL,2018,1.466163,1.261865,0.4023501,1.268156,1.376737,1.318997,23.9588204
Belgium,BEL,2019,1.485347,1.148132,0.4737775,1.291109,1.37409,1.310243,24.001293
Belgium,BEL,2020,1.478052,1.124299,0.5905626,1.350718,1.36892,1.283182,24.5128534
Belize,BLZ,2016,-0.2427203,-0.6760404,0.0606221,-0.5123594,-0.8639369,0.57083,-2.2718273
Belize,BLZ,2017,-0.298598,-0.7029624,0.0357257,-0.5466834,-0.8768259,0.5706139,-2.7497399
Belize,BLZ,2018,-0.1370772,-0.5964406,0.0031797,-0.6500763,-0.8238621,0.4223617,-3.5908308
Belize,BLZ,2019,-0.1957777,-0.6776266,0.0630389,-0.5444132,-0.7752398,0.5056173,-2.6358816
Belize,BLZ,2020,-0.1919857,-0.6464335,0.5117432,-0.5378277,-0.7596992,0.5281408,-0.556292
Benin,BEN,2016,-0.5133145,-0.5643299,-0.0020272,-0.5278944,-0.6087622,0.4098547,-3.5168335
Benin,BEN,2017,-0.561516,-0.6468335,0.0308955,-0.4710597,-0.6260697,0.3822365,-3.6278997
Benin,BEN,2018,-0.3887573,-0.5638022,-0.1411756,-0.3385929,-0.6733479,0.2402929,-3.9581786
Benin,BEN,2019,-0.3385691,-0.4411183,-0.412668,-0.3760342,-0.6637715,0.0680906,-5.786564
Benin,BEN,2020,-0.0392984,-0.2638812,-0.4397532,-0.3722045,-0.7278787,-0.0771749,-5.6812038
Bermuda,BMU,2016,1.228804,1.328458,0.9996701,0.8714429,0.8654476,0,15.6643245
Bermuda,BMU,2017,1.245126,1.389179,1.001911,0.844159,0.8736399,0,15.7598679
Bermuda,BMU,2018,1.239041,1.386165,1.152475,0.8234454,0.876514,0,16.240218
Bermuda,BMU,2019,1.234696,1.361957,1.065074,0.8463107,0.8455459,0,15.8926584
Bermuda,BMU,2020,1.314374,1.543409,1.014357,0.9409034,0.6886193,0,16.7095393
Bhutan,BTN,2016,1.126535,0.5002068,1.123297,-0.6651375,0.4934784,-0.0259183,5.2591595
Bhutan,BTN,2017,1.553321,0.5571043,1.11713,-0.3313459,0.611513,0.0109287,8.2668306
Bhutan,BTN,2018,1.640953,0.3601472,1.093906,-0.3448173,0.5493638,0.0348506,7.7723525
Bhutan,BTN,2019,1.61838,0.3124391,1.082096,-0.3273374,0.5903587,0.074758,7.904681
Bhutan,BTN,2020,1.648439,0.3731863,1.021578,-0.3105174,0.5941438,0.1519855,8.4562187
Bolivia,BOL,2016,-0.7242584,-0.567202,-0.2488664,-0.9240948,-1.200806,-0.036425,-10.1854184
Bolivia,BOL,2017,-0.6587374,-0.3853793,-0.2780288,-0.8970232,-1.20487,-0.0246515,-9.4236229
Bolivia,BOL,2018,-0.6176781,-0.3178463,-0.2871185,-0.9072621,-1.145215,-0.0648267,-9.4078548
Bolivia,BOL,2019,-0.7382592,-0.6993221,-0.7300857,-0.9934214,-1.121446,-0.1143257,-13.2693347
Bolivia,BOL,2020,-0.7563663,-0.5620455,-0.4676746,-1.023997,-1.151606,-0.0706577,-11.7651047
Bosnia and Herzegovina,BIH,2016,-0.4563362,-0.3936032,-0.3978388,-0.1666478,-0.2168469,-0.1312022,-5.5221363
Bosnia and Herzegovina,BIH,2017,-0.5174395,-0.4826643,-0.3482373,-0.1488003,-0.2151614,-0.205798,-6.069772
Bosnia and Herzegovina,BIH,2018,-0.5669701,-0.6150292,-0.3955997,-0.2157231,-0.2342353,-0.2659763,-7.4701352
Bosnia and Herzegovina,BIH,2019,-0.6089352,-0.6344742,-0.4187543,-0.1947562,-0.2334548,-0.2430984,-7.4621364
Bosnia and Herzegovina,BIH,2020,-0.6038762,-0.9751914,-0.5145728,-0.2324903,-0.3060572,-0.323984,-9.6040305
Botswana,BWA,2016,0.9299284,0.5295248,0.99456,0.5284874,0.5337085,0.3967459,12.9832921
Botswana,BWA,2017,0.7879916,0.4318962,1.022508,0.464981,0.5090616,0.3884281,12.126239
Botswana,BWA,2018,0.7478711,0.3329532,0.9709879,0.4491354,0.46531,0.4475507,11.7748446
Botswana,BWA,2019,0.6905257,0.4282575,1.111055,0.3692842,0.4989015,0.4999618,12.4551372
Botswana,BWA,2020,0.6290125,0.2567992,1.088047,0.4159909,0.4405316,0.4944413,11.8677445
Brazil,BRA,2016,-0.3813246,-0.1739778,-0.3772054,-0.2073155,-0.1573322,0.4518494,-1.2762175
Brazil,BRA,2017,-0.4959317,-0.2328486,-0.4738646,-0.1500317,-0.2469499,0.4480156,-1.8948824
Brazil,BRA,2018,-0.398966,-0.4497755,-0.4404235,-0.3271396,-0.2524796,0.3602512,-3.6356229
Brazil,BRA,2019,-0.3365895,-0.1869027,-0.7137882,-0.1784509,-0.1806352,0.2974658,-3.3771348
Brazil,BRA,2020,-0.3424238,-0.4470313,-0.4216979,-0.1616535,-0.1758137,0.2610505,-3.1305113
Brunei Darussalam,BRN,2016,0.5684822,1.083784,1.154172,0.5933974,0.5616808,-0.9010094,7.1276158
Brunei Darussalam,BRN,2017,0.7151719,1.146735,1.160305,0.7176718,0.6497172,-0.9486977,8.0576588
Brunei Darussalam,BRN,2018,0.7959561,1.251249,1.24136,0.6864314,0.6293485,-0.8626922,9.1964515
Brunei Darussalam,BRN,2019,0.8022829,1.317982,1.108799,0.6345204,0.6143432,-0.9679027,7.9732368
Brunei Darussalam,BRN,2020,1.28122,1.438427,1.123706,0.9141998,0.9311345,-0.9322214,11.2813501
Bulgaria,BGR,2016,-0.2129944,0.2084756,0.0773333,0.6585177,-0.1051676,0.4021857,6.1093063
Bulgaria,BGR,2017,-0.1534974,0.1928596,0.3320499,0.6258183,-0.0883203,0.4298145,7.2194418
Bulgaria,BGR,2018,-0.1452328,0.2030701,0.4562779,0.5865343,-0.0698142,0.3566663,7.1467114
Bulgaria,BGR,2019,-0.1399162,0.2633897,0.578861,0.5311002,-0.0063268,0.3556397,7.6087931
Bulgaria,BGR,2020,-0.2723222,-0.0722199,0.472481,0.5189232,-0.0870779,0.2600734,5.1965984
Burkina Faso,BFA,2016,-0.1479759,-0.5643083,-0.8673759,-0.3973829,-0.4414265,0.0144986,-7.7997297
Burkina Faso,BFA,2017,-0.1169276,-0.5780835,-0.9269773,-0.4423672,-0.4012339,0.0655461,-7.8958082
Burkina Faso,BFA,2018,-0.1132987,-0.5778441,-1.059287,-0.3727933,-0.4453091,-0.0682887,-8.9162855
Burkina Faso,BFA,2019,-0.2000552,-0.7587574,-1.302387,-0.3765482,-0.4261681,-0.2027513,-11.4113475
Burkina Faso,BFA,2020,-0.1011696,-0.6695253,-1.551598,-0.4172661,-0.4181253,-0.1711518,-11.9486737
Burundi,BDI,2016,-1.245538,-1.441691,-1.970721,-0.8252589,-1.460521,-1.555504,-29.6188725
Burundi,BDI,2017,-1.279798,-1.337151,-2.007869,-0.8344458,-1.390451,-1.575757,-29.619747
Burundi,BDI,2018,-1.436725,-1.414782,-1.571772,-0.9766567,-1.493813,-1.672381,-29.8162665
Burundi,BDI,2019,-1.457849,-1.326445,-1.615159,-0.9489731,-1.432129,-1.723487,-29.8735855
Burundi,BDI,2020,-1.52695,-1.259296,-1.411315,-1.01885,-1.316482,-1.53803,-28.11596
Cabo Verde,CPV,2016,0.8689511,0.1248046,0.8862156,-0.2960399,0.3474011,0.9791626,10.3993556
Cabo Verde,CPV,2017,0.8230366,0.1633043,0.7746384,-0.2038071,0.4034872,0.9681481,10.42788
Cabo Verde,CPV,2018,0.7616211,0.320989,0.8458232,-0.2403039,0.4441875,0.9661335,10.908971
Cabo Verde,CPV,2019,0.8325423,0.292097,0.8739426,-0.2246151,0.5158916,0.9407284,11.0743325
Cabo Verde,CPV,2020,0.8279572,0.2471965,0.8807942,-0.0660532,0.4879067,0.917582,11.5838134
Cambodia,KHM,2016,-1.272752,-0.6942337,0.2110379,-0.4652204,-1.063893,-1.105392,-13.8064005
Cambodia,KHM,2017,-1.289828,-0.659631,0.091222,-0.5016114,-1.053886,-1.154714,-14.683888
Cambodia,KHM,2018,-1.311975,-0.5602662,0.1030418,-0.5016222,-1.112072,-1.236658,-14.9327124
Cambodia,KHM,2019,-1.279862,-0.58005,-0.0894939,-0.5689112,-0.9357082,-1.220296,-15.7598898
Cambodia,KHM,2020,-1.231246,-0.4194071,-0.2358826,-0.6164084,-0.9458001,-1.358499,-16.8430798
Cameroon,CMR,2016,-1.154283,-0.7639731,-1.062137,-0.7898978,-1.036228,-1.030126,-20.0155063
Cameroon,CMR,2017,-1.200322,-0.8107689,-1.095843,-0.8213113,-1.02993,-1.050992,-20.6587612
Cameroon,CMR,2018,-1.149803,-0.7988625,-1.404168,-0.798317,-1.077694,-1.132868,-22.1793525
Cameroon,CMR,2019,-1.210814,-0.8121258,-1.559217,-0.8267207,-1.118981,-1.212373,-23.6216959
Cameroon,CMR,2020,-1.131269,-0.8831259,-1.527164,-0.8171073,-1.146446,-1.214586,-23.5400702
Canada,CAN,2016,1.989884,1.780962,1.256059,1.73882,1.841268,1.445155,33.553188
Canada,CAN,2017,1.927651,1.857114,1.102063,1.889669,1.806023,1.477724,33.955608
Canada,CAN,2018,1.827885,1.714916,0.9791259,1.706076,1.756561,1.490146,31.9448386
Canada,CAN,2019,1.767164,1.731293,1.016768,1.716236,1.760273,1.431915,31.728222
Canada,CAN,2020,1.597707,1.644323,1.109246,1.595805,1.655119,1.476175,31.056561
Cayman Islands,CYM,2016,0.5290577,1.181818,1.168496,0.7873485,0.7974545,0.4749393,16.8613862
Cayman Islands,CYM,2017,0.5292489,1.228924,1.190801,0.7555286,0.7796382,0.485479,16.978629
Cayman Islands,CYM,2018,0.4971413,1.202872,1.138934,0.9759164,0.7745451,0.4632958,17.5925365
Cayman Islands,CYM,2019,0.4666337,1.169075,1.433294,0.9828503,0.7691198,0.4697495,18.6755367
Cayman Islands,CYM,2020,0.4731022,1.129532,1.49174,1.054463,0.7685181,0.5009385,19.3482245
Central African Republic,CAF,2016,-1.279835,-1.771658,-1.789267,-1.427307,-1.81683,-1.082307,-30.478919
Central African Republic,CAF,2017,-1.174239,-1.758346,-2.006543,-1.478067,-1.723307,-1.107815,-31.41022
Central African Republic,CAF,2018,-1.227124,-1.713924,-2.183386,-1.369948,-1.683269,-1.20836,-32.112733
Central African Republic,CAF,2019,-1.228475,-1.746933,-2.138272,-1.372842,-1.728578,-1.219375,-32.159875
Central African Republic,CAF,2020,-1.28198,-1.689749,-2.178489,-1.537033,-1.711812,-1.273128,-33.382908
Chad,TCD,2016,-1.487701,-1.51189,-1.302365,-1.180022,-1.378202,-1.362297,-28.172626
Chad,TCD,2017,-1.433071,-1.463329,-1.287528,-1.207961,-1.291439,-1.370896,-27.962861
Chad,TCD,2018,-1.405133,-1.524279,-1.483272,-1.113601,-1.301453,-1.468215,-28.994939
Chad,TCD,2019,-1.420671,-1.568414,-1.343743,-1.119378,-1.283379,-1.434415,-28.408315
Chad,TCD,2020,-1.41457,-1.460003,-1.264458,-1.137971,-1.305166,-1.419714,-27.780286
Chile,CHL,2016,1.140084,1.010372,0.4131105,1.373064,1.129331,0.9956857,20.9324912
Chile,CHL,2017,1.106465,0.9961624,0.4171355,1.350113,1.149239,1.000417,20.7722652
Chile,CHL,2018,1.039679,1.07547,0.4273602,1.335477,1.091852,1.024111,20.9291118
Chile,CHL,2019,1.066971,1.060289,0.0079297,1.223731,1.074586,0.9911498,18.4866676
Chile,CHL,2020,1.146561,0.9887357,0.0706187,1.052093,1.067767,1.016067,17.9664379
China,CHN,2016,-0.2539508,0.3545941,-0.499395,-0.2644748,-0.3345477,-1.559632,-12.456413
China,CHN,2017,-0.27085,0.4137717,-0.2310181,-0.1467606,-0.2667109,-1.503779,-10.2476452
China,CHN,2018,-0.2679587,0.4792704,-0.3000233,-0.1862563,-0.2028825,-1.463188,-10.2114914
China,CHN,2019,-0.2951186,0.5170006,-0.2566892,-0.2445802,-0.2746037,-1.628118,-11.3322049
China,CHN,2020,-0.0658865,0.6479592,-0.291068,-0.0808021,-0.0595887,-1.648466,-9.7065626
Colombia,COL,2016,-0.3241391,0.0152157,-0.8824593,0.4020093,-0.2789232,0.1218224,-1.6704106
Colombia,COL,2017,-0.3722761,-0.07508,-0.7727076,0.3411354,-0.3629579,0.1124623,-2.0431297
Colombia,COL,2018,-0.2857142,-0.0860052,-0.7969317,0.3176741,-0.4062347,0.1635418,-1.8537842
Colombia,COL,2019,-0.2363339,0.0707119,-0.9495016,0.3965637,-0.4168378,0.2048455,-1.2634848
Colombia,COL,2020,-0.181955,0.0402886,-0.6735995,0.3171094,-0.4912356,0.1492503,-0.947629
Comoros,COM,2016,-0.6657364,-1.552763,0.0357599,-1.049556,-0.9987311,-0.2902683,-13.8348431
Comoros,COM,2017,-0.6877698,-1.559369,0.0361181,-1.035068,-1.051716,-0.3355786,-14.1497018
Comoros,COM,2018,-0.805908,-1.62861,-0.3462803,-1.110248,-1.071624,-0.5005819,-17.5091226
Comoros,COM,2019,-1.020556,-1.669251,-0.1546992,-1.118452,-1.086838,-0.7095864,-18.6042782
Comoros,COM,2020,-1.19349,-1.593477,-0.2917943,-1.178481,-1.199232,-0.7638819,-20.0095166
"Congo, Dem. Rep.",COD,2016,-1.337154,-1.510926,-2.234622,-1.323978,-1.618813,-1.409874,-32.843521
"Congo, Dem. Rep.",COD,2017,-1.416593,-1.627224,-2.302249,-1.463433,-1.682099,-1.463378,-34.703386
"Congo, Dem. Rep.",COD,2018,-1.502247,-1.552124,-2.105781,-1.4711,-1.779271,-1.507798,-34.265549
"Congo, Dem. Rep.",COD,2019,-1.545593,-1.62692,-1.593899,-1.50859,-1.786273,-1.313627,-31.558527
"Congo, Dem. Rep.",COD,2020,-1.572393,-1.692743,-1.708182,-1.540846,-1.79057,-1.281867,-32.241745
"Congo, Rep.",COG,2016,-1.186817,-1.096853,-0.5192695,-1.165628,-1.095829,-1.160179,-21.626314
"Congo, Rep.",COG,2017,-1.329081,-1.196112,-0.531724,-1.327535,-1.101178,-1.121606,-22.841883
"Congo, Rep.",COG,2018,-1.350381,-1.211082,-0.3484042,-1.330903,-1.098704,-1.197621,-22.6665698
"Congo, Rep.",COG,2019,-1.409202,-1.387316,-0.8969635,-1.299283,-1.149737,-1.279171,-25.889384
"Congo, Rep.",COG,2020,-1.403427,-1.434841,-0.8958732,-1.431044,-1.160379,-1.290345,-26.7525388
Cook Islands,COK,2016,0,0,0.6067084,0,0,1.4756048,11.2804624
Cook Islands,COK,2017,0,0,0.73180305,0,0,1.3361804,10.9442946
Cook Islands,COK,2018,0,0,0.8568977,0,0,1.196756,10.6081268
Cook Islands,COK,2019,0,0,1.064757,0,0,1.051479,10.567902
Cook Islands,COK,2020,0,0,1.107087,0,0,0.9179072,9.9357912
Costa Rica,CRI,2016,0.7442904,0.3551873,0.6614283,0.4074337,0.4660165,1.117966,14.4108369
Costa Rica,CRI,2017,0.5094244,0.3063277,0.6088256,0.3463587,0.4692508,1.121746,13.3046546
Costa Rica,CRI,2018,0.5527953,0.3762068,0.4694642,0.4885781,0.4810215,1.10845,13.6866798
Costa Rica,CRI,2019,0.7027699,0.4225595,0.4522929,0.4971444,0.5445495,1.096336,14.0906774
Costa Rica,CRI,2020,0.7761228,0.3622126,0.7615439,0.4498657,0.5699124,1.143007,15.3623419
Cote d'Ivoire,CIV,2016,-0.5299415,-0.6732535,-0.9075593,-0.3648906,-0.6447258,-0.3084423,-11.0297133
Cote d'Ivoire,CIV,2017,-0.5267719,-0.7554985,-1.090237,-0.360639,-0.6314723,-0.2830979,-11.814242
Cote d'Ivoire,CIV,2018,-0.5038995,-0.5682684,-0.8986894,-0.2026825,-0.5763171,-0.2553864,-9.4294098
Cote d'Ivoire,CIV,2019,-0.5397315,-0.4827835,-1.026046,-0.2433622,-0.5666268,-0.2450294,-9.8856117
Cote d'Ivoire,CIV,2020,-0.5265628,-0.4806498,-0.9764128,-0.2758446,-0.5994768,-0.4831634,-11.2784064
Croatia,HRV,2016,0.21198,0.5035605,0.6637695,0.3562783,0.3843882,0.5253699,9.9077186
Croatia,HRV,2017,0.1179555,0.6090569,0.6920319,0.4240429,0.3588388,0.4791637,10.1852448
Croatia,HRV,2018,0.0779362,0.5073917,0.8028065,0.5371523,0.352705,0.4375764,10.5531984
Croatia,HRV,2019,0.0820259,0.4592125,0.6946999,0.5906433,0.3953754,0.4553147,10.400969
Croatia,HRV,2020,0.2007412,0.4377178,0.6074048,0.43394,0.29418,0.5801762,10.0891922
Cuba,CUB,2016,0.1692236,-0.1051888,0.6853639,-1.338703,-0.4425099,-1.560149,-13.7325825
Cuba,CUB,2017,0.2678478,-0.1804782,0.6470563,-1.328484,-0.4303128,-1.552479,-13.8051206
Cuba,CUB,2018,0.1663785,-0.2471846,0.6489246,-1.459466,-0.4442561,-1.460088,-14.3152125
Cuba,CUB,2019,0.0437994,-0.1727885,0.6031231,-1.486811,-0.3226229,-1.440688,-14.4190802
