Year,Country_Name,Country_Code,Compulsory_education_duration_year,Government_expenditure_on_education_on_gdp,Government_expenditure_on_education_total_of_goverment_expenditure,Weighted_education
2019,Central Europe and the Baltics,CEB,10,4.08368015289306,11.0433506965638,1.89854521888904
2020,Central Europe and the Baltics,CEB,10,3.90044021606444,10.9631509780885,1.86629765754987
2016,Chad,TCD,10,2.29999995231628,13,1.75961220990571
2017,Chad,TCD,10,2.45481991767883,16.3627490997314,1.99747275041047
2018,Chad,TCD,10,2.25947999954224,12.3357548713684,1.71115656338464
2019,Chad,TCD,10,2.37245988845825,14.2137899398804,1.84792198337108
2020,Chad,TCD,10,2.39661320050557,11.6715097427368,1.68899524431475
2016,Chile,CHL,12,5.34201002120972,21.1554794311523,2.84880056913842
2017,Chile,CHL,12,5.41966009140015,21.3115501403809,2.87026949017679
2018,Chile,CHL,12,5.43316984176636,21.3795299530029,2.87661430520588
2019,Chile,CHL,12,5.47874975204468,21.4915552139282,2.8905211732396
2020,Chile,CHL,12,5.524329662323,21.6035804748535,2.90442804127333
2016,China,CHN,9,3.79362010955811,12.2695598602295,1.87516894956203
2017,China,CHN,9,3.66744995117188,12.1553001403809,1.84919114562474
2018,China,CHN,9,3.54249000549316,11.4506902694702,1.78565749069703
2019,China,CHN,9,3.41692495346068,11.0412554740905,1.74090176126454
2020,China,CHN,9,3.29135990142821,10.6318206787109,1.69614603183204
2016,Colombia,COL,12,4.47721004486084,14.9271898269653,2.32269201008675
2017,Colombia,COL,12,4.53551006317139,15.4687404632568,2.36593668376722
2018,Colombia,COL,12,4.44910001754761,12.8371896743774,2.18493938944141
2019,Colombia,COL,12,4.5062198638916,14.1365804672241,2.27645026259801
2020,Colombia,COL,12,4.51588980356852,13.873044013977,2.26103634676843
2016,"Congo, Dem. Rep.",COD,6,2.1186900138855,14.6354198455811,1.60201798716141
2017,"Congo, Dem. Rep.",COD,6,1.45494997501373,14.006420135498,1.46357281679235
2018,"Congo, Dem. Rep.",COD,6,0.79120993614196,13.3774204254149,1.3251276464233
2019,"Congo, Dem. Rep.",COD,6,0.12746989727019,12.7484207153318,1.18668247605424
2020,"Congo, Dem. Rep.",COD,6,-0.536270141601579,12.1194210052487,1.04823730568518
2016,"Congo, Rep.",COG,10,5.20979022979736,11.3723001480103,2.08624637023303
2017,"Congo, Rep.",COG,10,4.44296979904175,15.68577003479,2.24846525458083
2018,"Congo, Rep.",COG,10,3.00147008895874,15.582799911499,2.02852800835529
2019,"Congo, Rep.",COG,10,3.89800000190735,16.6643295288086,2.23035380852964
2020,"Congo, Rep.",COG,10,3.46073659261068,17.0830593109131,2.19239979665498
2016,Costa Rica,CRI,13,6.89395999908447,23.4232006072998,3.28227914195096
2017,Costa Rica,CRI,13,7.06980991363525,30.1514205932617,3.73837202553496
2018,Costa Rica,CRI,13,6.7790699005127,26.086669921875,3.43552235410964
2019,Costa Rica,CRI,13,6.80879020690918,24.5510101318359,3.34176240423215
2020,Costa Rica,CRI,13,6.74626016616821,21.5394802093506,3.14001144143542
2016,Cote d'Ivoire,CIV,10,3.97232007980347,22.3875999450684,2.60718330455333
2017,Cote d'Ivoire,CIV,10,3.80347990989685,20.6334991455078,2.47007187563165
2018,Cote d'Ivoire,CIV,10,3.23993992805481,18.2890892028809,2.2368088323302
2019,Cote d'Ivoire,CIV,10,3.70040011405945,17.3795795440674,2.24682570709283
2020,Cote d'Ivoire,CIV,10,3.60976012547811,15.0821800231934,2.08656117305878
2016,Croatia,HRV,8,3.90566992759705,8.63871002197266,1.60084719747822
2017,Croatia,HRV,8,3.90566992759705,8.63871002197266,1.60084719747822
2018,Croatia,HRV,8,3.90566992759705,8.63871002197266,1.60084719747822
2019,Croatia,HRV,8,3.90566992759705,8.63871002197266,1.60084719747822
2020,Croatia,HRV,8,3.90566992759705,8.63871002197266,1.60084719747822
2016,Cyprus,CYP,10,6.14541006088257,16.4027805328369,2.54627338627447
2017,Cyprus,CYP,10,5.75416994094849,15.6789302825928,2.44209793810318
2018,Cyprus,CYP,10,5.36292982101441,14.9550800323487,2.33792248993188
2019,Cyprus,CYP,10,4.97168970108032,14.2312297821046,2.23374704176059
2020,Cyprus,CYP,10,4.58044958114624,13.5073795318605,2.1295715935893
2016,Czech Republic,CZE,9,5.55373001098633,13.971489906311,2.2444684377137
2017,Czech Republic,CZE,9,3.80615997314453,9.76358985900879,1.7168442465092
2018,Czech Republic,CZE,9,4.26692008972168,10.5118703842163,1.83287087862855
2019,Czech Republic,CZE,9,3.62351512908935,8.78206062316894,1.62707209908598
2020,Czech Republic,CZE,9,2.98011016845702,7.0522508621216,1.4212733195434
2016,Denmark,DNK,10,7.75243997573853,15.3363304138184,2.71596172006248
2017,Denmark,DNK,10,7.75243997573853,15.3363304138184,2.71596172006248
2018,Denmark,DNK,10,7.75243997573853,15.3363304138184,2.71596172006248
2019,Denmark,DNK,10,7.75243997573853,15.3363304138184,2.71596172006248
2020,Denmark,DNK,10,7.75243997573853,15.3363304138184,2.71596172006248
