Year,Country_Name,Country_Code,Compulsory_education_duration_years,Government_expenditure_on_education_total,"Government expenditure on education, total (% of government expenditure)",Weighted World Education
2016,Bolivia,BOL,14,0,0,0.823529412
2017,Bolivia,BOL,14,0,0,0.823529412
2018,Bolivia,BOL,14,0,0,0.823529412
2019,Bolivia,BOL,14,0,0,0.823529412
2020,Bolivia,BOL,14,0,0,0.823529412
2016,Bosnia and Herzegovina,BIH,9,0,0,0.529411765
2017,Bosnia and Herzegovina,BIH,9,0,0,0.529411765
2018,Bosnia and Herzegovina,BIH,9,0,0,0.529411765
2019,Bosnia and Herzegovina,BIH,9,0,0,0.529411765
2020,Bosnia and Herzegovina,BIH,9,0,0,0.529411765
2016,Botswana,BWA,0,7.974820137,16.50358963,2.235251567
2017,Botswana,BWA,0,7.099999905,22.20000076,2.469882588
2018,Botswana,BWA,0,6.721330166,15.60871029,1.992522961
2019,Botswana,BWA,0,6.91437006,15.35272026,2.004731877
2020,Botswana,BWA,0,6.560886701,14.96909714,1.927891981
2016,Brazil,BRA,14,6.314040184,15.92883015,2.776231597
2017,Brazil,BRA,14,6.32047987,16.50490952,2.814007521
2018,Brazil,BRA,14,6.088510036,16.1483593,2.756883253
2019,Brazil,BRA,14,5.975744963,16.25812387,2.747209081
2020,Brazil,BRA,14,5.862979889,16.36788845,2.737534909
2016,British Virgin Islands,VGB,12,3.797420025,14.38938046,2.187700147
2017,British Virgin Islands,VGB,12,2.665430069,15.00934982,2.059783275
2018,British Virgin Islands,VGB,12,2.694129944,13.99639034,1.999283112
2019,British Virgin Islands,VGB,12,2.918790102,12.19546032,1.917420102
2020,British Virgin Islands,VGB,12,2.625913461,13.16137981,1.935812856
2016,Brunei Darussalam,BRN,9,4.425409794,11.44194984,1.915779188
2017,Brunei Darussalam,BRN,9,4.425409794,11.44194984,1.915779188
2018,Brunei Darussalam,BRN,9,4.425409794,11.44194984,1.915779188
2019,Brunei Darussalam,BRN,9,4.425409794,11.44194984,1.915779188
2020,Brunei Darussalam,BRN,9,4.425409794,11.44194984,1.915779188
2016,Bulgaria,BGR,11,4.091020107,12.73095036,2.066325906
2017,Bulgaria,BGR,11,4.091020107,12.73095036,2.066325906
2018,Bulgaria,BGR,11,4.091020107,12.73095036,2.066325906
2019,Bulgaria,BGR,11,4.091020107,12.73095036,2.066325906
2020,Bulgaria,BGR,11,4.091020107,12.73095036,2.066325906
2016,Burkina Faso,BFA,10,5.549964905,20.22683144,2.702573924
2017,Burkina Faso,BFA,10,5.628469944,21.44400024,2.791994405
2018,Burkina Faso,BFA,10,5.430560112,22.66116905,2.840502902
2019,Burkina Faso,BFA,10,5.785480022,23.87833786,2.970835368
2020,Burkina Faso,BFA,10,5.863985062,25.09550667,3.060255849
2016,Burundi,BDI,0,4.691999912,20.78461075,2.023004848
2017,Burundi,BDI,0,4.762020111,19.76485062,1.968185784
2018,Burundi,BDI,0,5.078649998,18.79343033,1.952957124
2019,Burundi,BDI,0,5.27197504,17.79784012,1.917933262
2020,Burundi,BDI,0,5.465300083,16.80224991,1.8829094
2016,Cabo Verde,CPV,10,5.288790226,17.84300995,2.5115446
2017,Cabo Verde,CPV,10,5.181749821,16.41258049,2.404269072
2018,Cabo Verde,CPV,10,5.368850231,17.56854057,2.505850244
2019,Cabo Verde,CPV,10,4.733459949,15.15369987,2.257450775
2020,Cabo Verde,CPV,10,4.548349857,17.09019089,2.353832575
2016,Cambodia,KHM,0,2.162859917,9.385020256,0.920010676
2017,Cambodia,KHM,0,2.162859917,9.385020256,0.920010676
2018,Cambodia,KHM,0,2.162859917,9.385020256,0.920010676
2019,Cambodia,KHM,0,2.162859917,9.385020256,0.920010676
2020,Cambodia,KHM,0,2.162859917,9.385020256,0.920010676
2016,Cameroon,CMR,6,2.654230118,12.69468975,1.557232144
2017,Cameroon,CMR,6,3.154819965,15.91281033,1.837025255
2018,Cameroon,CMR,6,3.131200075,16.88315964,1.895553677
2019,Cameroon,CMR,6,3.100500107,14.0946703,1.712770538
2020,Cameroon,CMR,6,3.24925677,14.38990974,1.753659516
2016,Canada,CAN,10,0,0,0.588235294
2017,Canada,CAN,10,0,0,0.588235294
2018,Canada,CAN,10,0,0,0.588235294
2019,Canada,CAN,10,0,0,0.588235294
2020,Canada,CAN,10,0,0,0.588235294
2016,Caribbean small states,CSS,6.5,4.643265009,14.78959036,2.014944976
2017,Caribbean small states,CSS,6.5,4.410719991,14.14472532,1.939306593
2018,Caribbean small states,CSS,6.5,4.350024939,14.1778698,1.932441741
2019,Caribbean small states,CSS,6.5,4.36243999,13.96738482,1.920825159
2020,Caribbean small states,CSS,6.5,5.403379917,9.377129555,1.781486499
2016,Cayman Islands,CYM,12,0,0,0.705882353
2017,Cayman Islands,CYM,12,0,0,0.705882353
2018,Cayman Islands,CYM,12,0,0,0.705882353
2019,Cayman Islands,CYM,12,0,0,0.705882353
2020,Cayman Islands,CYM,12,0,0,0.705882353
2016,Central African Republic,CAF,10,1.754089952,7.319019794,1.315686172
2017,Central African Republic,CAF,10,1.75364995,8.895050049,1.416360347
2018,Central African Republic,CAF,10,1.565879941,9.135499954,1.403938104
2019,Central African Republic,CAF,10,1.768710017,9.797809601,1.47629345
2020,Central African Republic,CAF,10,1.773583372,9.782440186,1.476032345
2016,Central Europe and the Baltics,CEB,10,4.633399963,11.28394985,1.995287903
2017,Central Europe and the Baltics,CEB,10,4.091020107,10.84708023,1.887086062
2018,Central Europe and the Baltics,CEB,10,4.26692009,11.12355042,1.93079278
2019,Central Europe and the Baltics,CEB,10,4.083680153,11.0433507,1.898545219
2020,Central Europe and the Baltics,CEB,10,3.900440216,10.96315098,1.866297658
2016,Chad,TCD,10,2.299999952,13,1.75961221
2017,Chad,TCD,10,2.454819918,16.3627491,1.99747275
2018,Chad,TCD,10,2.25948,12.33575487,1.711156563
2019,Chad,TCD,10,2.372459888,14.21378994,1.847921983
2020,Chad,TCD,10,2.396613201,11.67150974,1.688995244
2016,Channel Islands,CHI,0,0,0,0
2017,Channel Islands,CHI,0,0,0,0
2018,Channel Islands,CHI,0,0,0,0
2019,Channel Islands,CHI,0,0,0,0
2020,Channel Islands,CHI,0,0,0,0
2016,Chile,CHL,12,5.342010021,21.15547943,2.848800569
2017,Chile,CHL,12,5.419660091,21.31155014,2.87026949
2018,Chile,CHL,12,5.433169842,21.37952995,2.876614305
2019,Chile,CHL,12,5.478749752,21.49155521,2.890521173
2020,Chile,CHL,12,5.524329662,21.60358047,2.904428041
2016,China,CHN,9,3.79362011,12.26955986,1.87516895
2017,China,CHN,9,3.667449951,12.15530014,1.849191146
2018,China,CHN,9,3.542490005,11.45069027,1.785657491
2019,China,CHN,9,3.416924953,11.04125547,1.740901761
2020,China,CHN,9,3.291359901,10.63182068,1.696146032
2016,Colombia,COL,12,4.477210045,14.92718983,2.32269201
2017,Colombia,COL,12,4.535510063,15.46874046,2.365936684
2018,Colombia,COL,12,4.449100018,12.83718967,2.184939389
2019,Colombia,COL,12,4.506219864,14.13658047,2.276450263
2020,Colombia,COL,12,4.515889804,13.87304401,2.261036347
2016,Comoros,COM,6,0,0,0.352941176
2017,Comoros,COM,6,0,0,0.352941176
2018,Comoros,COM,6,0,0,0.352941176
2019,Comoros,COM,6,0,0,0.352941176
2020,Comoros,COM,6,0,0,0.352941176
2016,"Congo, Dem. Rep.",COD,6,2.118690014,14.63541985,1.602017987
2017,"Congo, Dem. Rep.",COD,6,1.454949975,14.00642014,1.463572817
2018,"Congo, Dem. Rep.",COD,6,0.791209936,13.37742043,1.325127646
2019,"Congo, Dem. Rep.",COD,6,0.127469897,12.74842072,1.186682476
2020,"Congo, Dem. Rep.",COD,6,-0.536270142,12.11942101,1.048237306
2016,"Congo, Rep.",COG,10,5.20979023,11.37230015,2.08624637
2017,"Congo, Rep.",COG,10,4.442969799,15.68577003,2.248465255
2018,"Congo, Rep.",COG,10,3.001470089,15.58279991,2.028528008
2019,"Congo, Rep.",COG,10,3.898000002,16.66432953,2.230353809
2020,"Congo, Rep.",COG,10,3.460736593,17.08305931,2.192399797
2016,Costa Rica,CRI,13,6.893959999,23.42320061,3.282279142
2017,Costa Rica,CRI,13,7.069809914,30.15142059,3.738372026
2018,Costa Rica,CRI,13,6.779069901,26.08666992,3.435522354
2019,Costa Rica,CRI,13,6.808790207,24.55101013,3.341762404
2020,Costa Rica,CRI,13,6.746260166,21.53948021,3.140011441
2016,Cote d'Ivoire,CIV,10,3.97232008,22.38759995,2.607183305
2017,Cote d'Ivoire,CIV,10,3.80347991,20.63349915,2.470071876
2018,Cote d'Ivoire,CIV,10,3.239939928,18.2890892,2.236808832
2019,Cote d'Ivoire,CIV,10,3.700400114,17.37957954,2.246825707
2020,Cote d'Ivoire,CIV,10,3.609760125,15.08218002,2.086561173
2016,Croatia,HRV,8,3.905669928,8.638710022,1.600847197
2017,Croatia,HRV,8,3.905669928,8.638710022,1.600847197
2018,Croatia,HRV,8,3.905669928,8.638710022,1.600847197
2019,Croatia,HRV,8,3.905669928,8.638710022,1.600847197
2020,Croatia,HRV,8,3.905669928,8.638710022,1.600847197
2016,Cuba,CUB,9,0,0,0.529411765
2017,Cuba,CUB,9,0,0,0.529411765
2018,Cuba,CUB,9,0,0,0.529411765
2019,Cuba,CUB,9,0,0,0.529411765
2020,Cuba,CUB,9,0,0,0.529411765
2016,Curacao,CUW,14,0,0,0.823529412
2017,Curacao,CUW,14,0,0,0.823529412
2018,Curacao,CUW,14,0,0,0.823529412
2019,Curacao,CUW,14,0,0,0.823529412
2020,Curacao,CUW,14,0,0,0.823529412
2016,Cyprus,CYP,10,6.145410061,16.40278053,2.546273386
2017,Cyprus,CYP,10,5.754169941,15.67893028,2.442097938
2018,Cyprus,CYP,10,5.362929821,14.95508003,2.33792249
2019,Cyprus,CYP,10,4.971689701,14.23122978,2.233747042
2020,Cyprus,CYP,10,4.580449581,13.50737953,2.129571594
2016,Czech Republic,CZE,9,5.553730011,13.97148991,2.244468438
2017,Czech Republic,CZE,9,3.806159973,9.763589859,1.716844247
2018,Czech Republic,CZE,9,4.26692009,10.51187038,1.832870879
2019,Czech Republic,CZE,9,3.623515129,8.782060623,1.627072099
2020,Czech Republic,CZE,9,2.980110168,7.052250862,1.42127332
2016,Denmark,DNK,10,7.752439976,15.33633041,2.71596172
2017,Denmark,DNK,10,7.752439976,15.33633041,2.71596172
2018,Denmark,DNK,10,7.752439976,15.33633041,2.71596172
2019,Denmark,DNK,10,7.752439976,15.33633041,2.71596172
2020,Denmark,DNK,10,7.752439976,15.33633041,2.71596172
2016,Djibouti,DJI,10,3.924390078,12.00850964,1.936661418
2017,Djibouti,DJI,10,3.748559952,13.25469971,1.990292947
2018,Djibouti,DJI,10,3.627739906,13.99153042,2.01950841
2019,Djibouti,DJI,10,3.479414821,14.98304081,2.060931906
2020,Djibouti,DJI,10,3.331089735,15.9745512,2.102355402
2016,Dominica,DMA,12,5.129720211,12.69810009,2.276786983
2017,Dominica,DMA,12,4.766749859,9.783909798,2.036789961
2018,Dominica,DMA,12,5.571549892,8.445839882,2.070378931
2019,Dominica,DMA,12,5.571609974,8.298299789,2.060957113
2020,Dominica,DMA,12,4.998129845,10.66617012,2.127430131
2016,Dominican Republic,DOM,15,3.850500107,21.94519997,2.854992406
2017,Dominican Republic,DOM,15,3.920269966,22.34359932,2.890784544
