Year,Country_Name,Country_Code,Current_GDP,GDP_growth_annual,GDP_per_capita,Land_area,Weighted_gdp
2017,Cameroon,CMR,36098550142,3.541176549,1469.4475,472710,17.25987836
2018,Cameroon,CMR,39973839065,3.95551424,1585.240534,472710,19.10498053
2019,Cameroon,CMR,39670977333,3.475059979,1533.095688,472710,17.10026081
2020,Cameroon,CMR,40804449726,0.491914742,1537.130218,472710,5.175361809
2016,Canada,CAN,1.52799E+12,1.001394414,42315.60371,8965590,86.54326392
2017,Canada,CAN,1.64927E+12,3.039880225,45129.35644,8965590,99.29048674
2018,Canada,CAN,1.72533E+12,2.777040554,46548.52036,8965590,100.5728402
2019,Canada,CAN,1.74202E+12,1.879592028,46338.34096,8965590,96.66934036
2020,Canada,CAN,1.64542E+12,-5.233024303,43294.64816,8965590,63.28973253
2016,Caribbean small states,CSS,69598702058,-1.142029028,9574.221486,404850,11.29252441
2017,Caribbean small states,CSS,71693634217,0.089377344,9800.965886,404850,16.5795287
2018,Caribbean small states,CSS,75312833438,1.872186884,10234.21118,404850,24.40082286
2019,Caribbean small states,CSS,76173669481,0.616387706,10291.80732,404850,19.4697966
2020,Caribbean small states,CSS,66039332389,-8.161304989,8873.521929,404850,-17.89800626
2016,Cayman Islands,CYM,4909498980,3.239976888,78471.62873,240,137.2038013
2017,Cayman Islands,CYM,5166467299,3.184043376,81513.16302,240,141.7957811
2018,Cayman Islands,CYM,5522625585,4.19434091,86059.73922,240,153.0356122
2019,Cayman Islands,CYM,5935769351,3.817100404,91392.64259,240,159.9702857
2020,Cayman Islands,CYM,5591623665,-6.730287428,85082.52686,240,107.7900346
2016,Central African Republic,CAF,1825018191,4.750316841,402.1916451,622980,20.59886027
2017,Central African Republic,CAF,2072349794,4.527278213,450.9006579,622980,19.78410532
2018,Central African Republic,CAF,2220978978,3.789443593,475.9538139,622980,16.87260125
2019,Central African Republic,CAF,2220307369,3,467.9080323,622980,13.70208786
2020,Central African Republic,CAF,2380087758,0.829010003,492.7958712,622980,5.057713285
2016,Central Europe and the Baltics,CEB,1.32141E+12,3.070341259,12829.89634,1106354,35.80557987
2017,Central Europe and the Baltics,CEB,1.46392E+12,4.878583294,14248.74812,1106329.1,45.4476092
2018,Central Europe and the Baltics,CEB,1.64533E+12,4.491186349,16045.95364,1106266.4,46.95046243
2019,Central Europe and the Baltics,CEB,1.67386E+12,4.072158857,16346.55494,1106266.4,45.78285803
2020,Central Europe and the Baltics,CEB,1.65325E+12,-3.813940033,16168.19665,1106266.4,13.93253934
2016,Chad,TCD,10097778354,-6.255527085,693.4497674,1259200,-21.97481566
2017,Chad,TCD,10000395242,-2.988695986,665.9488849,1259200,-8.951142436
2018,Chad,TCD,11239167048,2.3740378,726.1510071,1259200,12.5965206
2019,Chad,TCD,11314951343,3.247181917,709.5400432,1259200,16.06288479
2020,Chad,TCD,10829076802,-0.947304885,659.270045,1259200,-0.795205785
2016,Chile,CHL,2.5044E+11,1.711089289,13753.59215,743532,30.04960283
