Country Name,Country Code,Year,Control of Corruption Score,Government Effectiveness Score,Political Stability Score,Regulatory Quality Score,Rule of Law Score,Free Speech Score
Cambodia,KHM,2020.0,-1.231246,-0.4194071,-0.2358826,-0.6164084,-0.9458001,-1.358499
Cameroon,CMR,2016.0,-1.154283,-0.7639731,-1.062137,-0.7898978,-1.036228,-1.030126
Cameroon,CMR,2017.0,-1.200322,-0.8107689,-1.095843,-0.8213113,-1.02993,-1.050992
Cameroon,CMR,2018.0,-1.149803,-0.7988625,-1.404168,-0.798317,-1.077694,-1.132868
Cameroon,CMR,2019.0,-1.210814,-0.8121258,-1.559217,-0.8267207,-1.118981,-1.212373
Cameroon,CMR,2020.0,-1.131269,-0.8831259,-1.527164,-0.8171073,-1.146446,-1.214586
Canada,CAN,2016.0,1.989884,1.780962,1.256059,1.73882,1.841268,1.445155
Canada,CAN,2017.0,1.927651,1.857114,1.102063,1.889669,1.806023,1.477724
Canada,CAN,2018.0,1.827885,1.714916,0.9791259,1.706076,1.756561,1.490146
Canada,CAN,2019.0,1.767164,1.731293,1.016768,1.716236,1.760273,1.431915
Canada,CAN,2020.0,1.597707,1.644323,1.109246,1.595805,1.655119,1.476175
Cayman Islands,CYM,2016.0,0.5290577,1.181818,1.168496,0.7873485,0.7974545,0.4749393
Cayman Islands,CYM,2017.0,0.5292489,1.228924,1.190801,0.7555286,0.7796382,0.485479
Cayman Islands,CYM,2018.0,0.4971413,1.202872,1.138934,0.9759164,0.7745451,0.4632958
Cayman Islands,CYM,2019.0,0.4666337,1.169075,1.433294,0.9828503,0.7691198,0.4697495
Cayman Islands,CYM,2020.0,0.4731022,1.129532,1.49174,1.054463,0.7685181,0.5009385
Central African Republic,CAF,2016.0,-1.279835,-1.771658,-1.789267,-1.427307,-1.81683,-1.082307
Central African Republic,CAF,2017.0,-1.174239,-1.758346,-2.006543,-1.478067,-1.723307,-1.107815
Central African Republic,CAF,2018.0,-1.227124,-1.713924,-2.183386,-1.369948,-1.683269,-1.20836
Central African Republic,CAF,2019.0,-1.228475,-1.746933,-2.138272,-1.372842,-1.728578,-1.219375
Central African Republic,CAF,2020.0,-1.28198,-1.689749,-2.178489,-1.537033,-1.711812,-1.273128
Chad,TCD,2016.0,-1.487701,-1.51189,-1.302365,-1.180022,-1.378202,-1.362297
Chad,TCD,2017.0,-1.433071,-1.463329,-1.287528,-1.207961,-1.291439,-1.370896
Chad,TCD,2018.0,-1.405133,-1.524279,-1.483272,-1.113601,-1.301453,-1.468215
Chad,TCD,2019.0,-1.420671,-1.568414,-1.343743,-1.119378,-1.283379,-1.434415
Chad,TCD,2020.0,-1.41457,-1.460003,-1.264458,-1.137971,-1.305166,-1.419714
Chile,CHL,2016.0,1.140084,1.010372,0.4131105,1.373064,1.129331,0.9956857
Chile,CHL,2017.0,1.106465,0.9961624,0.4171355,1.350113,1.149239,1.000417
Chile,CHL,2018.0,1.039679,1.07547,0.4273602,1.335477,1.091852,1.024111
Chile,CHL,2019.0,1.066971,1.060289,0.0079297,1.223731,1.074586,0.9911498
Chile,CHL,2020.0,1.146561,0.9887357,0.0706187,1.052093,1.067767,1.016067
China,CHN,2016.0,-0.2539508,0.3545941,-0.499395,-0.2644748,-0.3345477,-1.559632
China,CHN,2017.0,-0.27085,0.4137717,-0.2310181,-0.1467606,-0.2667109,-1.503779
China,CHN,2018.0,-0.2679587,0.4792704,-0.3000233,-0.1862563,-0.2028825,-1.463188
China,CHN,2019.0,-0.2951186,0.5170006,-0.2566892,-0.2445802,-0.2746037,-1.628118
China,CHN,2020.0,-0.0658865,0.6479592,-0.291068,-0.0808021,-0.0595887,-1.648466
Colombia,COL,2016.0,-0.3241391,0.0152157,-0.8824593,0.4020093,-0.2789232,0.1218224
Colombia,COL,2017.0,-0.3722761,-0.07508,-0.7727076,0.3411354,-0.3629579,0.1124623
Colombia,COL,2018.0,-0.2857142,-0.0860052,-0.7969317,0.3176741,-0.4062347,0.1635418
Colombia,COL,2019.0,-0.2363339,0.0707119,-0.9495016,0.3965637,-0.4168378,0.2048455
Colombia,COL,2020.0,-0.181955,0.0402886,-0.6735995,0.3171094,-0.4912356,0.1492503
Comoros,COM,2016.0,-0.6657364,-1.552763,0.0357599,-1.049556,-0.9987311,-0.2902683
Comoros,COM,2017.0,-0.6877698,-1.559369,0.0361181,-1.035068,-1.051716,-0.3355786
Comoros,COM,2018.0,-0.805908,-1.62861,-0.3462803,-1.110248,-1.071624,-0.5005819
Comoros,COM,2019.0,-1.020556,-1.669251,-0.1546992,-1.118452,-1.086838,-0.7095864
Comoros,COM,2020.0,-1.19349,-1.593477,-0.2917943,-1.178481,-1.199232,-0.7638819
"Congo, Dem. Rep.",COD,2016.0,-1.337154,-1.510926,-2.234622,-1.323978,-1.618813,-1.409874
"Congo, Dem. Rep.",COD,2017.0,-1.416593,-1.627224,-2.302249,-1.463433,-1.682099,-1.463378
"Congo, Dem. Rep.",COD,2018.0,-1.502247,-1.552124,-2.105781,-1.4711,-1.779271,-1.507798
"Congo, Dem. Rep.",COD,2019.0,-1.545593,-1.62692,-1.593899,-1.50859,-1.786273,-1.313627
"Congo, Dem. Rep.",COD,2020.0,-1.572393,-1.692743,-1.708182,-1.540846,-1.79057,-1.281867
"Congo, Rep.",COG,2016.0,-1.186817,-1.096853,-0.5192695,-1.165628,-1.095829,-1.160179
"Congo, Rep.",COG,2017.0,-1.329081,-1.196112,-0.531724,-1.327535,-1.101178,-1.121606
"Congo, Rep.",COG,2018.0,-1.350381,-1.211082,-0.3484042,-1.330903,-1.098704,-1.197621
"Congo, Rep.",COG,2019.0,-1.409202,-1.387316,-0.8969635,-1.299283,-1.149737,-1.279171
"Congo, Rep.",COG,2020.0,-1.403427,-1.434841,-0.8958732,-1.431044,-1.160379,-1.290345
Cook Islands,COK,2016.0,..,..,..,..,..,..
Cook Islands,COK,2017.0,..,..,..,..,..,..
Cook Islands,COK,2018.0,..,..,0.8568977,..,..,1.196756
Cook Islands,COK,2019.0,..,..,1.064757,..,..,1.051479
Cook Islands,COK,2020.0,..,..,1.107087,..,..,0.9179072
