Year,Country Name,Country Code,Current GDP ($),GDP growth (annual %),GDP per capita ($),Gini index,%individuals using internet,Interest payments (% of expense),Interest payments (% of revenue),Land area (sq.km),Life expectancy at birth,Military expenditure (% of GDP)
2017,Australia,AUS,1326882872011.46,2.29592694694063,53934.2501750463,..,86.54504885,3.56481412254262,3.80461669991451,7692020,82.5,1.99757726645313
2018,Australia,AUS,1428529571351.06,2.87097248021668,57180.7794001614,..,..,3.67762419846917,3.70582027355661,7692020,82.7487804878049,1.89062224595723
2016,Australia,AUS,1206685107002.47,2.74164306864724,49881.7637140466,..,86.54,3.6133159578249,3.91562689998135,7692020,82.4487804878049,2.08368922475255
2019,Australia,AUS,1391952510370.48,2.11314942462376,54875.2859563351,..,..,3.52469404651199,3.49483439122459,7692020,82.9,1.87974326651011
2018,Austria,AUT,454945881027.378,2.50159511872086,51461.4332150082,30.8,87.47913723,3.65337395204537,3.62567551145088,82520,81.6926829268293,0.744858294108948
2019,Austria,AUT,445011872704.47,1.49121084953705,50114.4011099728,..,87.75220479,3.26178081203074,3.19824600023613,82520,81.7926829268293,0.727409410363743
2017,Austria,AUT,416230497429.163,2.25857243250671,47312.0062332199,29.7,87.93558659,4.09638098006751,4.13820667057948,82520,81.6439024390244,0.757321291425713
2020,Austria,AUT,433258467676.515,-6.73451407608768,48586.8013213238,..,87.52942813,..,..,82520,..,0.836613874204963
2016,Austria,AUT,395568644341.038,1.98943716230463,45276.8314351693,30.8,84.32374257,4.52859101690812,4.60650321014873,82520,81.6414634146342,0.729737691793485
2019,Azerbaijan,AZE,48174235294.1176,2.4999999999999,4805.75371765917,..,81.09999907,3.19188252182854,1.75137533176258,82654,73.005,3.87341170306515
2018,Azerbaijan,AZE,47112941176.4706,1.50000000000009,4739.84171028393,..,79.79999549,4.4885220079923,2.43715735591677,82654,72.864,3.56240123412697
2017,Azerbaijan,AZE,40865558912.3867,0.199999999999804,4147.08971569171,..,79,2.51810831079477,2.0071661343407,82662,72.693,3.75630173249661
2016,Azerbaijan,AZE,37867518957.1975,-3.09999999999992,3880.73873089556,..,78.2,3.73694715575786,2.91037136736744,82670,72.493,3.68852730317814
2020,Azerbaijan,AZE,42607176470.5882,-4.29999999999997,4221.40747847848,..,..,..,..,82654,..,5.39049499415887
2020,"Bahamas, The",BHS,9907500000,-14.5144814032903,25194.0251444381,..,..,..,..,10010,..,..
2016,"Bahamas, The",BHS,11992600000,0.0911469243731915,31732.9191396131,..,80,12.9400387591956,13.8230032358439,10010,73.329,..
