Year,Country Name,Country Code,GDP (current $),"Compulsory education, duration (years)","Current education expenditure, primary (% of total expenditure in primary public institutions)","Current education expenditure, secondary (% of total expenditure in secondary public institutions)","Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)","Current education expenditure, total (% of total expenditure in public institutions)","Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)","Educational attainment, at least completed primary, population 25+ years, total (%)","Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",Expenditure on primary education (% of government expenditure on education),Expenditure on secondary education (% of government expenditure on education),Expenditure on tertiary education (% of government expenditure on education),"Government expenditure on education, total (% of GDP)","Government expenditure on education, total (% of government expenditure)"
2017,Belgium,BEL,501522868356.441,12,93.9427032470703,96.2785263061523,95.0934295654297,94.8713226318359,34.68994140625,86.5041732788086,36.3806114196777,95.8703308105469,35.124080657959,69.1504516601563,14.9169998168945,0.648150026798248,..,..,..,6.42534017562866,12.3507099151611
2020,Belize,BLZ,1636280797.08056,8,..,..,..,..,7.88255977630615,52.1646385192871,21.222240447998,81.4364471435547,20.9706192016602,43.2856292724609,1.86265003681183,..,..,..,..,7.94095993041992,21.5209808349609
2019,Belize,BLZ,1982518540.6134,8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.1383900642395,22.0944194793701
2017,Belize,BLZ,1858529676.71857,8,..,..,..,..,..,..,..,..,..,..,..,..,31.38068,39.95346,9.47148,7.45028018951416,21.6585102081299
2018,Belize,BLZ,1915899786.96407,8,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.47227001190186,22.1137504577637
2016,Belize,BLZ,1789304087.78561,8,..,..,..,..,..,..,..,..,..,..,..,..,33.03149,41.67663,10.06137,7.29365015029907,20.5020198822021
2017,Benin,BEN,12701654743.2149,6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.53558993339539,19.8796501159668
2020,Benin,BEN,15651545331.5404,6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2019,Benin,BEN,14391686632.7821,6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.96519994735718,..
2016,Benin,BEN,11821066152.5979,6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.89910006523132,18.7914009094238
2018,Benin,BEN,14262407011.5254,6,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.93396997451782,17.7091808319092
2019,Bermuda,BMU,7484113000,13,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2016,Bermuda,BMU,6899911000,13,..,..,..,..,31.1083793640137,..,54.7408485412598,..,40.8106384277344,87.4534378051758,9.99147033691406,1.27531003952026,..,..,..,..,..
2020,Bermuda,BMU,6842700000,13,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2017,Bermuda,BMU,7142316000,13,..,89.3953323364258,..,..,..,..,..,..,..,..,..,..,32.15812,44.39473,16.98494,1.32495999336243,7.77346992492676
2018,Bermuda,BMU,7224329000,13,..,..,95.9330673217773,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2019,Bhutan,BTN,2535657068.96575,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,20.3831596374512
2017,Bhutan,BTN,2450364928.07302,..,..,..,..,..,10.1993703842163,28.2215900421143,11.0007400512695,32.3560791015625,10.1993703842163,17.3154907226563,2.15477991104126,0.195490002632141,..,..,..,7.2257399559021,23.4572792053223
2018,Bhutan,BTN,2446866404.93058,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.85084009170532,21.8784408569336
2016,Bhutan,BTN,2158972129.00307,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.99333000183105,24.6431999206543
2020,Bhutan,BTN,2315437338.08809,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15.7853403091431
2017,Bolivia,BOL,37508642165.3366,14,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2019,Bolivia,BOL,40895322843.7851,14,..,..,..,..,24.7052993774414,95.3440017700195,31.1075897216797,97.6176071166992,31.1075897216797,79.7990493774414,1.33989000320435,0.186939999461174,..,..,..,..,..
2016,Bolivia,BOL,33941126200.0606,14,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2018,Bolivia,BOL,40287647930.4761,14,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2020,Bolivia,BOL,36572764862.8234,14,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2017,Bosnia and Herzegovina,BIH,18079075770.6713,9,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2019,Bosnia and Herzegovina,BIH,20201323260.0733,9,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2018,Bosnia and Herzegovina,BIH,20177409351.4329,9,95.6048965454102,98.1694717407227,96.23388671875,..,7.74765014648438,81.3628921508789,11.8616600036621,87.6067810058594,10.8351097106934,63.5065383911133,1.12071001529694,0.190500006079674,..,..,..,..,..
2020,Bosnia and Herzegovina,BIH,19946496562.9733,9,..,..,..,..,10.5902099609375,88.1731185913086,13.6857299804688,91.4224395751953,13.1230001449585,69.086181640625,1.56954002380371,0.181789994239807,..,..,..,..,..
2016,Bosnia and Herzegovina,BIH,16914287348.9819,9,..,..,95.6470794677734,..,8.37728023529053,81.1655578613281,11.8764600753784,83.7491073608398,11.0858602523804,62.3772583007813,1.67553997039795,0.165810003876686,..,..,..,..,..
2016,Botswana,BWA,15082578064.8002,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.97482013702393,16.503589630127
2017,Botswana,BWA,16088437675.1648,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7.09999990463257,22.2000007629395
2018,Botswana,BWA,16914245098.0392,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.72133016586304,15.6087102890015
2019,Botswana,BWA,16593720655.6402,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6.91437005996704,15.3527202606201
2020,Botswana,BWA,15061922801.6271,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2018,Brazil,BRA,1916933708381.89,14,96.9968490600586,97.1097564697266,96.7340774536133,96.9330520629883,16.5433902740479,60.0145111083984,..,80.2751235961914,16.5433902740479,47.4328689575195,0.957949995994568,0.257620006799698,..,..,..,6.08851003646851,16.1483592987061
2016,Brazil,BRA,1795693265810.23,14,96.9617919921875,97.5982284545898,95.090690612793,96.6319885253906,15.3451795578003,58.2031097412109,..,78.4814605712891,15.3451795578003,45.1083183288574,0.764900028705597,0.204339995980263,..,..,..,6.314040184021,15.9288301467896
2019,Brazil,BRA,1877824273720.78,14,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2020,Brazil,BRA,1444733258971.65,14,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
2017,Brazil,BRA,2063514688761.98,14,97.7680969238281,97.729133605957,97.350341796875,97.5223693847656,15.734580039978,59.1219291687012,..,79.6330413818359,15.734580039978,46.1742515563965,0.806580007076263,0.217360004782677,..,..,..,6.32047986984253,16.5049095153809
2018,British Virgin Islands,VGB,..,12,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.69412994384766,13.9963903427124
2016,British Virgin Islands,VGB,..,12,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3.79742002487183,14.3893804550171
