,Year,Country Name,Country Code,Life Expectancy at birth (total years),Lifetime risk of maternal death (%),"Mortality cauased by road traffic injury (per 100,000 population)","Mortality from CVD, cancer, diabetes or CRD between ages 30 and 70 (%)","Mortality rate attributed to household and ambient air pollution, age-standardized (per 100,000 population)","Mortality rate attributed to unintentional poisoning (per 100,000 population)","Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)","Mortality rate, infant (per 1,000 live births)","Mortality rate, neonatal (per 1,000 live births)","Mortality rate, under-5 (per 1,000 live births)","Suicide mortality rate (per 100,000 population)",Weighted World Death
73,2019,Austria,AUT,0.9581884851659607,0.0010676775862850459,0.0664406779661017,0.20194174757281555,0.04720765195927183,0.03333333333333333,0.0009900990099009901,0.03232998885172798,0.050884955752212385,0.02762854950115119,0.16781609195402297,-0.09025451922922956
74,2020,Austria,AUT,0.9576170293823518,0.0010734458547884758,0.059661016949152545,0.2058252427184466,0.04720765195927183,0.016666666666666666,0.0009900990099009901,0.033444816053511704,0.050884955752212385,0.02762854950115119,0.18275862068965518,0.2231395969789537
75,2016,Azerbaijan,AZE,0.8492441544835468,0.00854225570556708,0.11796610169491524,0.5475728155339805,0.19716136994754704,0.15,0.010891089108910892,0.24303232998885174,0.27654867256637167,0.18802762854950114,0.04597701149425287,-7.181514872009714
76,2017,Azerbaijan,AZE,0.8515871231963427,0.008193800935211423,0.1152542372881356,0.5475728155339805,0.19716136994754704,0.15,0.010891089108910892,0.22630992196209587,0.25884955752212385,0.17498081350729086,0.04597701149425287,-7.013323837874024
77,2018,Azerbaijan,AZE,0.8535903614457832,0.007845346164855764,0.10983050847457626,0.5320388349514563,0.19716136994754704,0.15,0.010891089108910892,0.2140468227424749,0.2411504424778761,0.16500383729854182,0.04597701149425287,-6.761881960169389
78,2019,Azerbaijan,AZE,0.8552421543883042,0.007496891394500093,0.09084745762711864,0.5281553398058252,0.19716136994754704,0.15,0.010891089108910892,0.20289855072463767,0.23008849557522124,0.1565617805065234,0.047126436781609195,-6.451386743526216
79,2020,Azerbaijan,AZE,0.85724148768989,0.007148436624144434,0.08180790960451977,0.5216828478964401,0.19716136994754704,0.15,0.010891089108910892,0.19286510590858416,0.2168141592920354,0.14888718342287027,0.0475095785440613,-6.2325929077733715
80,2016,"Bahamas, The",BHS,0.8590377637030334,0.01788894928449427,0.1111864406779661,0.3786407766990291,0.06140080222153656,0.03333333333333333,0.0009900990099009901,0.13043478260869565,0.16150442477876104,0.10514198004604756,0.041379310344827586,-3.5815696662713825
81,2017,"Bahamas, The",BHS,0.8616736035049288,0.017336320422564812,0.11796610169491524,0.37281553398058254,0.06140080222153656,0.03333333333333333,0.0009900990099009901,0.12709030100334448,0.1592920353982301,0.10207214121258634,0.03908045977011494,-3.6126883915330192
82,2018,"Bahamas, The",BHS,0.8639931425305967,0.01678369156063535,0.1111864406779661,0.38446601941747577,0.06140080222153656,0.03333333333333333,0.0009900990099009901,0.12486064659977703,0.15486725663716813,0.0997697620874904,0.040229885057471264,-3.5635366803454156
83,2019,"Bahamas, The",BHS,0.8659378065622173,0.01623106269870589,0.10440677966101695,0.3864077669902912,0.06140080222153656,0.03333333333333333,0.0009900990099009901,0.1616499442586399,0.15265486725663716,0.1719109746738296,0.040229885057471264,-3.8590104215298697
84,2020,"Bahamas, The",BHS,0.868237820848612,0.01567843383677643,0.10214689265536724,0.3889967637540453,0.06140080222153656,0.03333333333333333,0.0009900990099009901,0.11705685618729096,0.14601769911504422,0.09439754412893323,0.03984674329501916,-3.4313533941207552
85,2016,Bahrain,BHR,0.9008597552264394,0.0048911380817328685,0.09355932203389832,0.31650485436893205,0.12372724467756865,0.03333333333333333,0.0009900990099009901,0.0713489409141583,0.07079646017699115,0.057559478127398304,0.08850574712643679,-2.4219920154895416
86,2017,Bahrain,BHR,0.9024178294204486,0.004663415632200176,0.0840677966101695,0.3145631067961165,0.12372724467756865,0.03333333333333333,0.0009900990099009901,0.07023411371237458,0.06858407079646017,0.056024558710667687,0.09310344827586206,-2.2594241386372564
87,2018,Bahrain,BHR,0.9039524739273298,0.004435693182667482,0.07728813559322034,0.312621359223301,0.12372724467756865,0.03333333333333333,0.0009900990099009901,0.06800445930880712,0.06858407079646017,0.05448963929393706,0.09885057471264368,-2.118061021691714
88,2019,Bahrain,BHR,0.9054636887470833,0.004207970733134789,0.07050847457627119,0.312621359223301,0.12372724467756865,0.049999999999999996,0.0009900990099009901,0.0657748049052397,0.0663716814159292,0.05372217958557175,0.10229885057471265,-2.136885731494993
89,2020,Bahrain,BHR,0.9070217629410924,0.003980248283602096,0.06372881355932204,0.30873786407767,0.12372724467756865,0.03333333333333333,0.0009900990099009901,0.06465997770345595,0.06415929203539822,0.05218726016884113,0.1103448275862069,-1.8273599447544728
90,2016,Bangladesh,BGD,0.8409500452402495,0.061083462298155936,0.21423728813559323,0.3592233009708738,0.45973464979944456,0.049999999999999996,0.11782178217821783,0.32998885172798215,0.495575221238938,0.2770529547198772,0.03908045977011494,-9.983890763135497
91,2017,Bangladesh,BGD,0.8440779084718321,0.0558432776796664,0.21152542372881356,0.3650485436893204,0.45973464979944456,0.049999999999999996,0.11782178217821783,0.31438127090301,0.4623893805309734,0.2624712202609363,0.040229885057471264,-9.783326020232542
92,2018,Bangladesh,BGD,0.8472174865469784,0.050603093061176864,0.21016949152542372,0.3669902912621359,0.45973464979944456,0.049999999999999996,0.11782178217821783,0.2987736900780379,0.4358407079646017,0.24865694551036066,0.041379310344827586,-9.599872752050008
93,2019,Bangladesh,BGD,0.8503922091528168,0.04536290844268734,0.20745762711864407,0.3669902912621359,0.45973464979944456,0.049999999999999996,0.11782178217821783,0.2842809364548495,0.40929203539823006,0.2356101304681504,0.04252873563218391,-9.39841577267583
94,2020,Bangladesh,BGD,0.8535493594933091,0.0401227238241978,0.20542372881355936,0.36796116504854365,0.45973464979944456,0.049999999999999996,0.11782178217821783,0.2709030100334448,0.38716814159292035,0.22333077513430544,0.04367816091954023,-9.227184225036204
95,2016,Barbados,BRB,0.9241605790751941,0.006655924099093319,0.0759322033898305,0.3048543689320388,0.09595803764270287,0.09999999999999999,0.0019801980198019802,0.14158305462653287,0.20132743362831856,0.10514198004604756,0.006896551724137931,-3.9946902762831065
96,2017,Barbados,BRB,0.9252500595266441,0.005977841839111002,0.1152542372881356,0.3048543689320388,0.09595803764270287,0.09999999999999999,0.0019801980198019802,0.13823857302118173,0.19690265486725664,0.10283960092095164,0.006896551724137931,-4.357648318820436
97,2018,Barbados,BRB,0.9264215438830421,0.005299759579128672,0.11254237288135595,0.3067961165048544,0.09595803764270287,0.11666666666666665,0.0019801980198019802,0.13489409141583053,0.1902654867256637,0.0997697620874904,0.006896551724137931,-4.433520438624327
98,2019,Barbados,BRB,0.9276984618315158,0.004621677319146357,0.1111864406779661,0.3106796116504854,0.09595803764270287,0.11666666666666665,0.0019801980198019802,0.13043478260869565,0.18584070796460175,0.09669992325402915,0.006896551724137931,-4.4036293651388085
99,2020,Barbados,BRB,0.9287645125958381,0.00394359505916404,0.10711864406779664,0.3106796116504855,0.09595803764270287,0.15,0.0019801980198019802,0.12709030100334448,0.17920353982300882,0.0936300844205679,0.006896551724137931,-4.589672191970132
100,2016,Belarus,BLR,0.8648697557026527,0.0006348477573176958,0.12067796610169491,0.4776699029126214,0.1872878741129281,0.5833333333333334,0.0009900990099009901,0.03232998885172798,0.0331858407079646,0.02993092862624712,0.27816091954022987,-6.308076962761215
101,2017,Belarus,BLR,0.8684127815610264,0.0005980199284302245,0.12067796610169491,0.4699029126213592,0.1872878741129281,0.5666666666666667,0.0009900990099009901,0.030100334448160536,0.030973451327433624,0.02762854950115119,0.267816091954023,-6.205163106939947
102,2018,Belarus,BLR,0.8689556645554555,0.0005611920995427674,0.11254237288135595,0.47184466019417476,0.1872878741129281,0.5666666666666667,0.0009900990099009901,0.027870680044593088,0.026548672566371678,0.026093630084420564,0.2620689655172414,-6.160823844779998
103,2019,Belarus,BLR,0.8695556931282444,0.0005243642706552962,0.10305084745762712,0.4621359223300971,0.1872878741129281,0.5499999999999999,0.0009900990099009901,0.026755852842809364,0.024336283185840708,0.023791250959324634,0.24367816091954023,-6.030872441649964
104,2020,Belarus,BLR,0.8701271489118535,0.0004875364417678249,0.0942372881355932,0.45825242718446607,0.1872878741129281,0.5416666666666666,0.0009900990099009901,0.02452619843924192,0.022123893805309734,0.022256331542594012,0.23160919540229882,-5.947465785290717
105,2016,Belgium,BEL,0.9540454307347969,0.001354810773090482,0.07864406779661016,0.21553398058252426,0.04844183893859919,0.049999999999999996,0.0029702970297029703,0.03678929765886287,0.050884955752212385,0.03146584804297774,0.22183908045977013,0.02294660640821533
