,Year,Country Name,Country Code,GDP (current $),"Compulsory education, duration (years)","Current education expenditure, primary (% of total expenditure in primary public institutions)","Current education expenditure, secondary (% of total expenditure in secondary public institutions)","Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)","Current education expenditure, total (% of total expenditure in public institutions)","Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)","Educational attainment, at least completed primary, population 25+ years, total (%)","Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)","Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",Expenditure on primary education (% of government expenditure on education),Expenditure on secondary education (% of government expenditure on education),Expenditure on tertiary education (% of government expenditure on education),"Government expenditure on education, total (% of GDP)","Government expenditure on education, total (% of government expenditure)",Age
29,2020,American Samoa,ASM,709000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
30,2016,Andorra,AND,2896679211.86628,10.0,98.5624389648438,98.7077407836914,99.9505233764648,99.1814727783203,21.0465507507324,72.3267669677734,32.229190826416,96.5188369750977,32.229190826416,47.3496894836426,10.8690099716187,0.0,21.50379,23.97025,5.8952,3.23707008361816,9.99098014831543,0
31,2017,Andorra,AND,3000180750.11297,10.0,98.8672790527344,98.9182510375977,99.1742095947266,99.2702178955078,21.0465507507324,72.3267669677734,32.229190826416,96.5188369750977,32.229190826416,47.3496894836426,10.8690099716187,0.0,22.04794,24.76438,5.67515,3.21708989143372,9.39243984222412,1
32,2018,Andorra,AND,3218316013.22626,10.0,99.1540603637695,99.2485580444336,99.2001800537109,99.4593811035156,21.0465507507324,72.3267669677734,32.229190826416,96.5188369750977,32.229190826416,47.3496894836426,10.8690099716187,0.0,21.42039,25.30678,5.64106,3.2467200756073,13.4619197845459,2
33,2019,Andorra,AND,3155065487.51819,10.0,98.7865524291992,98.8557586669922,98.9328308105469,99.2426834106445,21.0465507507324,72.3267669677734,32.229190826416,96.5188369750977,32.229190826416,47.3496894836426,10.8690099716187,0.0,21.378690000000002,25.975045,5.513990000000001,3.15060997009277,10.8952398300171,3
34,2020,Andorra,AND,3241194246.0688267,10.0,98.86125691731768,98.9050979614258,98.59359995524093,99.26308695475257,21.0465507507324,72.3267669677734,32.229190826416,96.5188369750977,32.229190826416,47.3496894836426,10.8690099716187,0.0,21.336990000000004,26.64331,5.386920000000001,3.121789932250973,8.99186992645264,4
35,2016,Angola,AGO,101123851090.455,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75494003295898,6.55097007751465,0
36,2017,Angola,AGO,122123822333.59,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.46688008308411,6.76378011703491,1
37,2018,Angola,AGO,101353230784.594,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.04469990730286,5.41023015975952,2
38,2019,Angola,AGO,89417190341.2533,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.82117998600006,6.04536008834839,3
39,2020,Angola,AGO,58375976292.9678,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5099266370137532,6.46722984313965,4
40,2016,Antigua and Barbuda,ATG,1436585185.18519,11.0,0.0,0.0,53.067699432373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.43079996109009,6.76265001296997,0
41,2017,Antigua and Barbuda,ATG,1467977777.77778,11.0,0.0,0.0,53.067699432373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.44847989082336,7.39179992675781,1
42,2018,Antigua and Barbuda,ATG,1605944444.44444,11.0,0.0,0.0,53.067699432373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.64407992362976,7.23061990737915,2
43,2019,Antigua and Barbuda,ATG,1687533333.33333,11.0,0.0,0.0,53.067699432373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.82214999198914,8.54749011993408,3
44,2020,Antigua and Barbuda,ATG,1370281481.48148,11.0,0.0,0.0,53.067699432373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.32161998748779,8.94178009033203,4
45,2016,Arab World,ARB,2411981152232.62,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.659985065460216,0
46,2017,Arab World,ARB,2466442560038.42,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.84932994842531,1
47,2018,Arab World,ARB,2730779681432.55,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.038674831390406,2
48,2019,Arab World,ARB,2776468692322.96,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.2280197143555,3
49,2020,Arab World,ARB,2447584445275.52,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.417364597320596,4
50,2016,Argentina,ARG,557531376217.967,14.0,88.6820602416992,86.3291320800781,95.7014083862305,89.1933822631836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.07402,40.93612,20.36758,5.54548978805542,13.3555402755737,0
51,2017,Argentina,ARG,643628665302.155,14.0,88.36083984375,86.1723785400391,95.4454574584961,89.0937576293945,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.59458,39.5394,22.08034,5.45431995391846,13.2639198303223,1
52,2018,Argentina,ARG,524819742918.669,14.0,96.7341384887695,97.2601318359375,99.054313659668,97.4406661987305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.11514,38.14268,23.7931,4.94551992416382,12.5233402252197,2
53,2019,Argentina,ARG,451932356085.842,14.0,97.8984985351563,98.0829467773438,99.3100433349609,98.2297592163086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.6357,36.74596,25.50586,4.80237007141113,12.5300703048706,3
54,2020,Argentina,ARG,389288056265.325,14.0,100.97064463297534,102.00088500976571,100.51292165120437,101.24188486735027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.15626,35.349239999999995,27.218619999999998,4.554663499196367,12.254913647969566,4
55,2016,Armenia,ARM,10546135160.031,12.0,100.0,95.8201217651367,99.6426467895508,90.7032318115234,24.4368400573731,96.63375854492186,46.79623413085933,99.36474609375004,43.585660298665395,90.16857910156254,0.0,0.2174233396848037,20.66574,51.07427,13.18401,2.75812005996704,10.1971998214722,0
56,2017,Armenia,ARM,11527458565.7334,12.0,96.59464836120605,84.3743515014648,98.929931640625,87.5886764526367,24.3800601959229,96.5927734375,46.7269706726074,99.3582916259766,43.519889831543,90.0966491699219,0.0,0.310050010681152,19.37351,46.87318,12.99242,2.70759010314941,10.4031295776367,1
57,2018,Armenia,ARM,12457941907.0333,12.0,93.18929672241211,92.6555366516113,98.20041275024414,90.74951553344724,24.3232803344727,96.55178833007812,46.65770721435546,99.35183715820318,43.4541193644206,90.02471923828128,0.0,0.40267668167750037,18.08128,42.67209,12.800829999999998,2.25587010383606,8.98857975006104,2
58,2019,Armenia,ARM,13619291361.2814,12.0,89.78394508361815,91.0732440948486,97.47929573059082,90.77265739440917,24.2665004730225,96.51080322265626,46.58844375610353,99.34538269042974,43.3883488972982,89.95278930664064,0.0,0.4953033526738487,16.78905,38.471,12.609239999999996,2.56185007095337,9.06116771697999,3
59,2020,Armenia,ARM,12641209802.112,12.0,86.3785934448242,89.4909515380859,96.7581787109375,90.7957992553711,24.2097206115723,96.4698181152344,46.5191802978516,99.3389282226563,43.3225784301758,89.880859375,0.0,0.587930023670197,15.49682,34.269909999999996,12.417649999999995,2.70476007461548,8.68249034881592,4
60,2016,Aruba,ABW,2983636871.50838,13.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.52589,33.24558,18.39152,5.4913501739502,21.3665504455566,0
61,2017,Aruba,ABW,3092430167.59777,13.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.52589,33.24558,18.39152,5.4913501739502,21.3665504455566,1
62,2018,Aruba,ABW,3202188606.92893,13.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.52589,33.24558,18.39152,5.4913501739502,21.3665504455566,2
63,2019,Aruba,ABW,3311464474.639205,13.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.52589,33.24558,18.39152,5.4913501739502,21.3665504455566,3
64,2020,Aruba,ABW,3420740342.3494797,13.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.52589,33.24558,18.39152,5.4913501739502,21.3665504455566,4
65,2016,Australia,AUS,1206685107002.47,10.0,94.6533126831055,94.8131713867188,88.9414978027344,0.0,30.0298099517822,92.7639923095703,46.4734306335449,0.0,41.3899192810059,76.4180374145508,6.73469018936157,1.08241999149323,32.99107,31.27629,26.82461,5.276780128479,13.804349899292,0
66,2017,Australia,AUS,1326882872011.46,10.0,92.866569519043,93.0339126586914,88.6142272949219,0.0,31.3911895751953,93.0057067871094,47.6669883728027,0.0,42.6143493652344,77.261360168457,7.36984014511108,1.20350003242493,32.99107,31.27629,26.82461,5.12790012359619,13.6029195785522,1
67,2018,Australia,AUS,1428529571351.06,10.0,90.6768569946289,91.0842514038086,87.6458435058594,0.0,31.7493305206299,93.4390716552734,48.3026695251465,0.0,43.2722282409668,78.3257598876953,7.80558013916016,1.13663005828857,32.99107,31.27629,26.82461,5.10789012908936,13.4804601669312,2
68,2019,Australia,AUS,1391952510370.48,10.0,88.68862915039061,89.21979141235349,86.9980163574219,0.0,33.0947799682617,93.9455032348633,49.6182403564453,0.0,44.457950592041,79.0479278564453,8.36880016326904,1.33219003677368,32.99107,31.27629,26.82461,5.02344512939454,13.3185153007508,3
