,Year,Country Name,Country Code,"Compulsory education, duration (years)","Current education expenditure, secondary (% of total expenditure in secondary public institutions)","Government expenditure on education, total (% of GDP)","Government expenditure on education, total (% of government expenditure)",Weighted World Education
60,2016,Aruba,ABW,0.7647058823529411,0.7866109067846395,0.4063855793870741,0.45524746032554964,6.089663049242296
61,2017,Aruba,ABW,0.7647058823529411,0.7866109067846395,0.4063855793870741,0.45524746032554964,6.089663049242296
62,2018,Aruba,ABW,0.7647058823529411,0.7866109067846395,0.4063855793870741,0.45524746032554964,6.089663049242296
63,2019,Aruba,ABW,0.7647058823529411,0.7866109067846395,0.4063855793870741,0.45524746032554964,6.089663049242296
64,2020,Aruba,ABW,0.7647058823529411,0.7866109067846395,0.4063855793870741,0.45524746032554964,6.089663049242296
65,2016,Australia,AUS,0.5882352941176471,0.7458107471963432,0.39050639312399915,0.2941230616102959,5.234860253981905
66,2017,Australia,AUS,0.5882352941176471,0.731814903981762,0.37948857689904536,0.28983127655200985,5.143965893498815
67,2018,Australia,AUS,0.5882352941176471,0.7164786559054995,0.3780077437790295,0.2872220890617093,5.071831672482832
68,2019,Australia,AUS,0.5882352941176471,0.7018126102600777,0.3717584191065447,0.28377160278741603,4.990317381733295
69,2020,Australia,AUS,0.5882352941176471,0.6871465646146558,0.36550909443405993,0.28032111651312275,4.908803090983758
70,2016,Austria,AUT,0.5882352941176471,0.7659638708227805,0.4055174901974733,0.23338874057002196,5.163291979513781
71,2017,Austria,AUT,0.7647058823529411,0.759898291267366,0.3975449731954524,0.23288719413348172,5.298050576213755
72,2018,Austria,AUT,0.7647058823529411,0.7609663541875968,0.3867010571138459,0.2285702738427705,5.267684234859332
73,2019,Austria,AUT,0.7647058823529411,0.7584675958700052,0.3772928405720322,0.22616104047914481,5.231645068414461
74,2020,Austria,AUT,0.7647058823529411,0.7559688375524133,0.3678846240302185,0.22375180711551906,5.195605901969588
75,2016,Azerbaijan,AZE,0.5882352941176471,0.7735284713155165,0.21486590739210382,0.17486071179889714,4.6366631295606116
