,Country Name,Country Code,Year,Control of Corruption Score,Government Effectiveness Score,Political Stability Score,Regulatory Quality Score,Rule of Law Score,Free Speech Score,Age
86,Barbados,BRB,2017,1.424147,0.8445573,0.9668277,0.4947271,0.660408,1.113587,1
87,Barbados,BRB,2018,1.411714,0.4250214,0.9134325,0.5435893,0.3950066,1.091533,2
88,Barbados,BRB,2019,1.196289,0.6311362,1.049227,0.4123509,0.3570479,1.102872,3
89,Barbados,BRB,2020,1.22592,0.4893115,1.129196,0.4801968,0.3377488,1.131755,4
90,Belarus,BLR,2016,-0.2569613,-0.478073,0.1422815,-0.9412614,-0.7162234,-1.339445,0
91,Belarus,BLR,2017,-0.2574071,-0.3413015,-0.0534834,-0.7347551,-0.8187015,-1.356029,1
92,Belarus,BLR,2018,-0.1850613,-0.295147,0.3480572,-0.6494673,-0.830292,-1.366688,2
93,Belarus,BLR,2019,-0.0375447,-0.1843532,0.3323891,-0.5432242,-0.7943493,-1.407983,3
94,Belarus,BLR,2020,-0.1682376,-0.7293182,-0.7303549,-0.649549,-0.9959167,-1.458824,4
95,Belgium,BEL,2016,1.574584,1.433041,0.4413673,1.340684,1.429943,1.377026,0
96,Belgium,BEL,2017,1.447792,1.278846,0.4281858,1.24688,1.358459,1.338482,1
97,Belgium,BEL,2018,1.466163,1.261865,0.4023501,1.268156,1.376737,1.318997,2
98,Belgium,BEL,2019,1.485347,1.148132,0.4737775,1.291109,1.37409,1.310243,3
99,Belgium,BEL,2020,1.478052,1.124299,0.5905626,1.350718,1.36892,1.283182,4
100,Belize,BLZ,2016,-0.2427203,-0.6760404,0.0606221,-0.5123594,-0.8639369,0.57083,0
101,Belize,BLZ,2017,-0.298598,-0.7029624,0.0357257,-0.5466834,-0.8768259,0.5706139,1
102,Belize,BLZ,2018,-0.1370772,-0.5964406,0.0031797,-0.6500763,-0.8238621,0.4223617,2
103,Belize,BLZ,2019,-0.1957777,-0.6776266,0.0630389,-0.5444132,-0.7752398,0.5056173,3
104,Belize,BLZ,2020,-0.1919857,-0.6464335,0.5117432,-0.5378277,-0.7596992,0.5281408,4
105,Benin,BEN,2016,-0.5133145,-0.5643299,-0.0020272,-0.5278944,-0.6087622,0.4098547,0
106,Benin,BEN,2017,-0.561516,-0.6468335,0.0308955,-0.4710597,-0.6260697,0.3822365,1
107,Benin,BEN,2018,-0.3887573,-0.5638022,-0.1411756,-0.3385929,-0.6733479,0.2402929,2
108,Benin,BEN,2019,-0.3385691,-0.4411183,-0.412668,-0.3760342,-0.6637715,0.0680906,3
109,Benin,BEN,2020,-0.0392984,-0.2638812,-0.4397532,-0.3722045,-0.7278787,-0.0771749,4
110,Bermuda,BMU,2016,1.228804,1.328458,0.9996701,0.8714429,0.8654476,0.0,0
111,Bermuda,BMU,2017,1.245126,1.389179,1.001911,0.844159,0.8736399,0.0,1
112,Bermuda,BMU,2018,1.239041,1.386165,1.152475,0.8234454,0.876514,0.0,2
113,Bermuda,BMU,2019,1.234696,1.361957,1.065074,0.8463107,0.8455459,0.0,3
114,Bermuda,BMU,2020,1.314374,1.543409,1.014357,0.9409034,0.6886193,0.0,4
115,Bhutan,BTN,2016,1.126535,0.5002068,1.123297,-0.6651375,0.4934784,-0.0259183,0
116,Bhutan,BTN,2017,1.553321,0.5571043,1.11713,-0.3313459,0.611513,0.0109287,1
117,Bhutan,BTN,2018,1.640953,0.3601472,1.093906,-0.3448173,0.5493638,0.0348506,2
118,Bhutan,BTN,2019,1.61838,0.3124391,1.082096,-0.3273374,0.5903587,0.074758,3
119,Bhutan,BTN,2020,1.648439,0.3731863,1.021578,-0.3105174,0.5941438,0.1519855,4
120,Bolivia,BOL,2016,-0.7242584,-0.567202,-0.2488664,-0.9240948,-1.200806,-0.036425,0
121,Bolivia,BOL,2017,-0.6587374,-0.3853793,-0.2780288,-0.8970232,-1.20487,-0.0246515,1
122,Bolivia,BOL,2018,-0.6176781,-0.3178463,-0.2871185,-0.9072621,-1.145215,-0.0648267,2
123,Bolivia,BOL,2019,-0.7382592,-0.6993221,-0.7300857,-0.9934214,-1.121446,-0.1143257,3
124,Bolivia,BOL,2020,-0.7563663,-0.5620455,-0.4676746,-1.023997,-1.151606,-0.0706577,4
125,Bosnia and Herzegovina,BIH,2016,-0.4563362,-0.3936032,-0.3978388,-0.1666478,-0.2168469,-0.1312022,0
126,Bosnia and Herzegovina,BIH,2017,-0.5174395,-0.4826643,-0.3482373,-0.1488003,-0.2151614,-0.205798,1
127,Bosnia and Herzegovina,BIH,2018,-0.5669701,-0.6150292,-0.3955997,-0.2157231,-0.2342353,-0.2659763,2
128,Bosnia and Herzegovina,BIH,2019,-0.6089352,-0.6344742,-0.4187543,-0.1947562,-0.2334548,-0.2430984,3
129,Bosnia and Herzegovina,BIH,2020,-0.6038762,-0.9751914,-0.5145728,-0.2324903,-0.3060572,-0.323984,4
130,Botswana,BWA,2016,0.9299284,0.5295248,0.99456,0.5284874,0.5337085,0.3967459,0
131,Botswana,BWA,2017,0.7879916,0.4318962,1.022508,0.464981,0.5090616,0.3884281,1
132,Botswana,BWA,2018,0.7478711,0.3329532,0.9709879,0.4491354,0.46531,0.4475507,2
133,Botswana,BWA,2019,0.6905257,0.4282575,1.111055,0.3692842,0.4989015,0.4999618,3
134,Botswana,BWA,2020,0.6290125,0.2567992,1.088047,0.4159909,0.4405316,0.4944413,4
135,Brazil,BRA,2016,-0.3813246,-0.1739778,-0.3772054,-0.2073155,-0.1573322,0.4518494,0
136,Brazil,BRA,2017,-0.4959317,-0.2328486,-0.4738646,-0.1500317,-0.2469499,0.4480156,1
137,Brazil,BRA,2018,-0.398966,-0.4497755,-0.4404235,-0.3271396,-0.2524796,0.3602512,2
138,Brazil,BRA,2019,-0.3365895,-0.1869027,-0.7137882,-0.1784509,-0.1806352,0.2974658,3
139,Brazil,BRA,2020,-0.3424238,-0.4470313,-0.4216979,-0.1616535,-0.1758137,0.2610505,4
140,Brunei Darussalam,BRN,2016,0.5684822,1.083784,1.154172,0.5933974,0.5616808,-0.9010094,0
141,Brunei Darussalam,BRN,2017,0.7151719,1.146735,1.160305,0.7176718,0.6497172,-0.9486977,1
142,Brunei Darussalam,BRN,2018,0.7959561,1.251249,1.24136,0.6864314,0.6293485,-0.8626922,2
143,Brunei Darussalam,BRN,2019,0.8022829,1.317982,1.108799,0.6345204,0.6143432,-0.9679027,3
144,Brunei Darussalam,BRN,2020,1.28122,1.438427,1.123706,0.9141998,0.9311345,-0.9322214,4
145,Bulgaria,BGR,2016,-0.2129944,0.2084756,0.0773333,0.6585177,-0.1051676,0.4021857,0
146,Bulgaria,BGR,2017,-0.1534974,0.1928596,0.3320499,0.6258183,-0.0883203,0.4298145,1
147,Bulgaria,BGR,2018,-0.1452328,0.2030701,0.4562779,0.5865343,-0.0698142,0.3566663,2
148,Bulgaria,BGR,2019,-0.1399162,0.2633897,0.578861,0.5311002,-0.0063268,0.3556397,3
149,Bulgaria,BGR,2020,-0.2723222,-0.0722199,0.472481,0.5189232,-0.0870779,0.2600734,4
150,Burkina Faso,BFA,2016,-0.1479759,-0.5643083,-0.8673759,-0.3973829,-0.4414265,0.0144986,0
151,Burkina Faso,BFA,2017,-0.1169276,-0.5780835,-0.9269773,-0.4423672,-0.4012339,0.0655461,1
152,Burkina Faso,BFA,2018,-0.1132987,-0.5778441,-1.059287,-0.3727933,-0.4453091,-0.0682887,2
153,Burkina Faso,BFA,2019,-0.2000552,-0.7587574,-1.302387,-0.3765482,-0.4261681,-0.2027513,3
154,Burkina Faso,BFA,2020,-0.1011696,-0.6695253,-1.551598,-0.4172661,-0.4181253,-0.1711518,4
155,Burundi,BDI,2016,-1.245538,-1.441691,-1.970721,-0.8252589,-1.460521,-1.555504,0
156,Burundi,BDI,2017,-1.279798,-1.337151,-2.007869,-0.8344458,-1.390451,-1.575757,1
157,Burundi,BDI,2018,-1.436725,-1.414782,-1.571772,-0.9766567,-1.493813,-1.672381,2
158,Burundi,BDI,2019,-1.457849,-1.326445,-1.615159,-0.9489731,-1.432129,-1.723487,3
159,Burundi,BDI,2020,-1.52695,-1.259296,-1.411315,-1.01885,-1.316482,-1.53803,4
160,Cabo Verde,CPV,2016,0.8689511,0.1248046,0.8862156,-0.2960399,0.3474011,0.9791626,0
161,Cabo Verde,CPV,2017,0.8230366,0.1633043,0.7746384,-0.2038071,0.4034872,0.9681481,1
162,Cabo Verde,CPV,2018,0.7616211,0.320989,0.8458232,-0.2403039,0.4441875,0.9661335,2
163,Cabo Verde,CPV,2019,0.8325423,0.292097,0.8739426,-0.2246151,0.5158916,0.9407284,3
164,Cabo Verde,CPV,2020,0.8279572,0.2471965,0.8807942,-0.0660532,0.4879067,0.917582,4
165,Cambodia,KHM,2016,-1.272752,-0.6942337,0.2110379,-0.4652204,-1.063893,-1.105392,0
166,Cambodia,KHM,2017,-1.289828,-0.659631,0.091222,-0.5016114,-1.053886,-1.154714,1
167,Cambodia,KHM,2018,-1.311975,-0.5602662,0.1030418,-0.5016222,-1.112072,-1.236658,2
168,Cambodia,KHM,2019,-1.279862,-0.58005,-0.0894939,-0.5689112,-0.9357082,-1.220296,3
169,Cambodia,KHM,2020,-1.231246,-0.4194071,-0.2358826,-0.6164084,-0.9458001,-1.358499,4
170,Cameroon,CMR,2016,-1.154283,-0.7639731,-1.062137,-0.7898978,-1.036228,-1.030126,0
171,Cameroon,CMR,2017,-1.200322,-0.8107689,-1.095843,-0.8213113,-1.02993,-1.050992,1
172,Cameroon,CMR,2018,-1.149803,-0.7988625,-1.404168,-0.798317,-1.077694,-1.132868,2
173,Cameroon,CMR,2019,-1.210814,-0.8121258,-1.559217,-0.8267207,-1.118981,-1.212373,3
174,Cameroon,CMR,2020,-1.131269,-0.8831259,-1.527164,-0.8171073,-1.146446,-1.214586,4
175,Canada,CAN,2016,1.989884,1.780962,1.256059,1.73882,1.841268,1.445155,0
176,Canada,CAN,2017,1.927651,1.857114,1.102063,1.889669,1.806023,1.477724,1
177,Canada,CAN,2018,1.827885,1.714916,0.9791259,1.706076,1.756561,1.490146,2
178,Canada,CAN,2019,1.767164,1.731293,1.016768,1.716236,1.760273,1.431915,3
179,Canada,CAN,2020,1.597707,1.644323,1.109246,1.595805,1.655119,1.476175,4
180,Cayman Islands,CYM,2016,0.5290577,1.181818,1.168496,0.7873485,0.7974545,0.4749393,0
181,Cayman Islands,CYM,2017,0.5292489,1.228924,1.190801,0.7555286,0.7796382,0.485479,1
182,Cayman Islands,CYM,2018,0.4971413,1.202872,1.138934,0.9759164,0.7745451,0.4632958,2
183,Cayman Islands,CYM,2019,0.4666337,1.169075,1.433294,0.9828503,0.7691198,0.4697495,3
184,Cayman Islands,CYM,2020,0.4731022,1.129532,1.49174,1.054463,0.7685181,0.5009385,4
185,Central African Republic,CAF,2016,-1.279835,-1.771658,-1.789267,-1.427307,-1.81683,-1.082307,0
186,Central African Republic,CAF,2017,-1.174239,-1.758346,-2.006543,-1.478067,-1.723307,-1.107815,1
187,Central African Republic,CAF,2018,-1.227124,-1.713924,-2.183386,-1.369948,-1.683269,-1.20836,2
188,Central African Republic,CAF,2019,-1.228475,-1.746933,-2.138272,-1.372842,-1.728578,-1.219375,3
189,Central African Republic,CAF,2020,-1.28198,-1.689749,-2.178489,-1.537033,-1.711812,-1.273128,4
190,Chad,TCD,2016,-1.487701,-1.51189,-1.302365,-1.180022,-1.378202,-1.362297,0
191,Chad,TCD,2017,-1.433071,-1.463329,-1.287528,-1.207961,-1.291439,-1.370896,1
192,Chad,TCD,2018,-1.405133,-1.524279,-1.483272,-1.113601,-1.301453,-1.468215,2
193,Chad,TCD,2019,-1.420671,-1.568414,-1.343743,-1.119378,-1.283379,-1.434415,3
194,Chad,TCD,2020,-1.41457,-1.460003,-1.264458,-1.137971,-1.305166,-1.419714,4
195,Chile,CHL,2016,1.140084,1.010372,0.4131105,1.373064,1.129331,0.9956857,0
196,Chile,CHL,2017,1.106465,0.9961624,0.4171355,1.350113,1.149239,1.000417,1
197,Chile,CHL,2018,1.039679,1.07547,0.4273602,1.335477,1.091852,1.024111,2
198,Chile,CHL,2019,1.066971,1.060289,0.0079297,1.223731,1.074586,0.9911498,3
199,Chile,CHL,2020,1.146561,0.9887357,0.0706187,1.052093,1.067767,1.016067,4
200,China,CHN,2016,-0.2539508,0.3545941,-0.499395,-0.2644748,-0.3345477,-1.559632,0
201,China,CHN,2017,-0.27085,0.4137717,-0.2310181,-0.1467606,-0.2667109,-1.503779,1
202,China,CHN,2018,-0.2679587,0.4792704,-0.3000233,-0.1862563,-0.2028825,-1.463188,2
203,China,CHN,2019,-0.2951186,0.5170006,-0.2566892,-0.2445802,-0.2746037,-1.628118,3
204,China,CHN,2020,-0.0658865,0.6479592,-0.291068,-0.0808021,-0.0595887,-1.648466,4
205,Colombia,COL,2016,-0.3241391,0.0152157,-0.8824593,0.4020093,-0.2789232,0.1218224,0
206,Colombia,COL,2017,-0.3722761,-0.07508,-0.7727076,0.3411354,-0.3629579,0.1124623,1
207,Colombia,COL,2018,-0.2857142,-0.0860052,-0.7969317,0.3176741,-0.4062347,0.1635418,2
208,Colombia,COL,2019,-0.2363339,0.0707119,-0.9495016,0.3965637,-0.4168378,0.2048455,3
209,Colombia,COL,2020,-0.181955,0.0402886,-0.6735995,0.3171094,-0.4912356,0.1492503,4
210,Comoros,COM,2016,-0.6657364,-1.552763,0.0357599,-1.049556,-0.9987311,-0.2902683,0
211,Comoros,COM,2017,-0.6877698,-1.559369,0.0361181,-1.035068,-1.051716,-0.3355786,1
212,Comoros,COM,2018,-0.805908,-1.62861,-0.3462803,-1.110248,-1.071624,-0.5005819,2
213,Comoros,COM,2019,-1.020556,-1.669251,-0.1546992,-1.118452,-1.086838,-0.7095864,3
214,Comoros,COM,2020,-1.19349,-1.593477,-0.2917943,-1.178481,-1.199232,-0.7638819,4
215,"Congo, Dem. Rep.",COD,2016,-1.337154,-1.510926,-2.234622,-1.323978,-1.618813,-1.409874,0
216,"Congo, Dem. Rep.",COD,2017,-1.416593,-1.627224,-2.302249,-1.463433,-1.682099,-1.463378,1
217,"Congo, Dem. Rep.",COD,2018,-1.502247,-1.552124,-2.105781,-1.4711,-1.779271,-1.507798,2
218,"Congo, Dem. Rep.",COD,2019,-1.545593,-1.62692,-1.593899,-1.50859,-1.786273,-1.313627,3
219,"Congo, Dem. Rep.",COD,2020,-1.572393,-1.692743,-1.708182,-1.540846,-1.79057,-1.281867,4
220,"Congo, Rep.",COG,2016,-1.186817,-1.096853,-0.5192695,-1.165628,-1.095829,-1.160179,0
221,"Congo, Rep.",COG,2017,-1.329081,-1.196112,-0.531724,-1.327535,-1.101178,-1.121606,1
222,"Congo, Rep.",COG,2018,-1.350381,-1.211082,-0.3484042,-1.330903,-1.098704,-1.197621,2
223,"Congo, Rep.",COG,2019,-1.409202,-1.387316,-0.8969635,-1.299283,-1.149737,-1.279171,3
224,"Congo, Rep.",COG,2020,-1.403427,-1.434841,-0.8958732,-1.431044,-1.160379,-1.290345,4
225,Cook Islands,COK,2016,0.0,0.0,0.6067084,0.0,0.0,1.4756047999999997,0
226,Cook Islands,COK,2017,0.0,0.0,0.73180305,0.0,0.0,1.3361803999999997,1
227,Cook Islands,COK,2018,0.0,0.0,0.8568977,0.0,0.0,1.196756,2
228,Cook Islands,COK,2019,0.0,0.0,1.064757,0.0,0.0,1.051479,3
229,Cook Islands,COK,2020,0.0,0.0,1.107087,0.0,0.0,0.9179072,4
230,Costa Rica,CRI,2016,0.7442904,0.3551873,0.6614283,0.4074337,0.4660165,1.117966,0
231,Costa Rica,CRI,2017,0.5094244,0.3063277,0.6088256,0.3463587,0.4692508,1.121746,1
232,Costa Rica,CRI,2018,0.5527953,0.3762068,0.4694642,0.4885781,0.4810215,1.10845,2
233,Costa Rica,CRI,2019,0.7027699,0.4225595,0.4522929,0.4971444,0.5445495,1.096336,3
234,Costa Rica,CRI,2020,0.7761228,0.3622126,0.7615439,0.4498657,0.5699124,1.143007,4
235,Cote d'Ivoire,CIV,2016,-0.5299415,-0.6732535,-0.9075593,-0.3648906,-0.6447258,-0.3084423,0
236,Cote d'Ivoire,CIV,2017,-0.5267719,-0.7554985,-1.090237,-0.360639,-0.6314723,-0.2830979,1
237,Cote d'Ivoire,CIV,2018,-0.5038995,-0.5682684,-0.8986894,-0.2026825,-0.5763171,-0.2553864,2
238,Cote d'Ivoire,CIV,2019,-0.5397315,-0.4827835,-1.026046,-0.2433622,-0.5666268,-0.2450294,3
239,Cote d'Ivoire,CIV,2020,-0.5265628,-0.4806498,-0.9764128,-0.2758446,-0.5994768,-0.4831634,4
240,Croatia,HRV,2016,0.21198,0.5035605,0.6637695,0.3562783,0.3843882,0.5253699,0
241,Croatia,HRV,2017,0.1179555,0.6090569,0.6920319,0.4240429,0.3588388,0.4791637,1
242,Croatia,HRV,2018,0.0779362,0.5073917,0.8028065,0.5371523,0.352705,0.4375764,2
243,Croatia,HRV,2019,0.0820259,0.4592125,0.6946999,0.5906433,0.3953754,0.4553147,3
244,Croatia,HRV,2020,0.2007412,0.4377178,0.6074048,0.43394,0.29418,0.5801762,4
245,Cuba,CUB,2016,0.1692236,-0.1051888,0.6853639,-1.338703,-0.4425099,-1.560149,0
246,Cuba,CUB,2017,0.2678478,-0.1804782,0.6470563,-1.328484,-0.4303128,-1.552479,1
247,Cuba,CUB,2018,0.1663785,-0.2471846,0.6489246,-1.459466,-0.4442561,-1.460088,2
248,Cuba,CUB,2019,0.0437994,-0.1727885,0.6031231,-1.486811,-0.3226229,-1.440688,3
249,Cuba,CUB,2020,-0.1267346,-0.1677658,0.5962209,-1.504454,-0.2780778,-1.419531,4
250,Cyprus,CYP,2016,0.8266943,0.9605695,0.6042547,1.052626,0.7213519,1.04664,0
251,Cyprus,CYP,2017,0.7853153,0.9222018,0.5378655,1.032462,0.8882236,1.056237,1
252,Cyprus,CYP,2018,0.640687,0.9192417,0.491743,0.8727556,0.7535621,1.005624,2
253,Cyprus,CYP,2019,0.6306768,0.9921815,0.5573699,1.012434,0.7600086,1.048613,3
254,Cyprus,CYP,2020,0.3778925,0.8832101,0.2918284,1.002475,0.580854,0.9070898,4
255,Czech Republic,CZE,2016,0.5929416,1.044984,0.9761155,0.986401,1.020164,1.025371,0
256,Czech Republic,CZE,2017,0.6066105,1.071043,1.000036,1.235234,1.124164,0.8802063,1
257,Czech Republic,CZE,2018,0.5428039,0.9887083,1.031982,1.275545,1.055094,0.8127151,2
258,Czech Republic,CZE,2019,0.5652813,0.9553274,0.9438875,1.245235,1.052832,0.8357995,3
