,Country Name,Country Code,Year,Control of Corruption Score,Government Effectiveness Score,Political Stability Score,Regulatory Quality Score,Rule of Law Score,Free Speech Score,Weighted Governance
63,Austria,AUT,2019,1.557738,1.527737,0.9167479,1.459237,1.904162,1.338795,28.5987956
64,Austria,AUT,2020,1.509674,1.655057,0.851911,1.401355,1.810441,1.398979,28.603253
65,Azerbaijan,AZE,2016,-0.8383624,-0.165814,-0.8038791,-0.2820228,-0.5200193,-1.561036,-16.686032500000003
66,Azerbaijan,AZE,2017,-0.8853079,-0.1726412,-0.7479199,-0.2449824,-0.5575179,-1.563684,-16.444752899999997
67,Azerbaijan,AZE,2018,-0.8364836,-0.158052,-0.7067598,-0.1973939,-0.587534,-1.511334,-15.616669900000002
68,Azerbaijan,AZE,2019,-0.8379928,-0.1401703,-0.6859124,-0.2269891,-0.5771515,-1.529508,-15.729291100000001
69,Azerbaijan,AZE,2020,-1.048197,-0.1702325,-0.7252154,-0.3147717,-0.6910434,-1.545741,-17.047301
70,"Bahamas, The",BHS,2016,1.108086,0.7191967,0.9754187,0.2575893,0.2602585,0.8521555,14.936574900000002
71,"Bahamas, The",BHS,2017,1.176681,0.5790182,0.9895855,0.1230418,0.1914401,0.8495829,13.9529051
72,"Bahamas, The",BHS,2018,1.131582,0.5372647,0.8628951,0.1802535,0.0970907,0.7648554,12.914029100000002
73,"Bahamas, The",BHS,2019,1.137568,0.4858155,0.8162377,-0.0482854,0.0764876,0.9062235,12.269934899999999
74,"Bahamas, The",BHS,2020,1.137461,0.4521627,0.849964,0.0138412,0.0620066,0.9186843,12.674584500000002
75,Bahrain,BHR,2016,-0.0157671,0.3275663,-0.7934257,0.6082391,0.4563531,-1.372085,-6.957499499999998
76,Bahrain,BHR,2017,-0.1390255,0.1955773,-0.9615637,0.4164841,0.4492349,-1.387303,-9.3297365
77,Bahrain,BHR,2018,-0.1461672,0.1777807,-0.8504526,0.4166367,0.4128062,-1.421445,-9.193482999999999
78,Bahrain,BHR,2019,-0.0096477,0.2984906,-0.6273595,0.4851534,0.4944274,-1.429295,-7.288837199999999
79,Bahrain,BHR,2020,-0.0655486,0.4287471,-0.5911913,0.6258294,0.491358,-1.457495,-6.334086100000001
80,Bangladesh,BGD,2016,-0.8569472,-0.678781,-1.261937,-0.7966801,-0.6636689,-0.5838786,-16.948326400000003
81,Bangladesh,BGD,2017,-0.8317032,-0.7350984,-1.256081,-0.8055848,-0.6718881,-0.6150656,-17.2832313
82,Bangladesh,BGD,2018,-0.8999589,-0.7402487,-0.9956784,-0.8343157,-0.6409807,-0.747334,-17.2999407
83,Bangladesh,BGD,2019,-0.9934731,-0.7402849,-0.9329753,-0.9290726,-0.6363772,-0.7418209,-17.672367699999995
84,Bangladesh,BGD,2020,-0.9782742,-0.7878783,-0.9173985,-0.9019138,-0.5731802,-0.7691441,-17.6873911
85,Barbados,BRB,2016,1.257388,1.081779,0.9766099,0.4810649,0.7951409,1.085793,19.381776000000002
86,Barbados,BRB,2017,1.424147,0.8445573,0.9668277,0.4947271,0.660408,1.113587,19.0648422
87,Barbados,BRB,2018,1.411714,0.4250214,0.9134325,0.5435893,0.3950066,1.091533,17.414373299999998
88,Barbados,BRB,2019,1.196289,0.6311362,1.049227,0.4123509,0.3570479,1.102872,17.518929000000004
89,Barbados,BRB,2020,1.22592,0.4893115,1.129196,0.4801968,0.3377488,1.131755,17.965821299999998
90,Belarus,BLR,2016,-0.2569613,-0.478073,0.1422815,-0.9412614,-0.7162234,-1.339445,-14.838216000000001
91,Belarus,BLR,2017,-0.2574071,-0.3413015,-0.0534834,-0.7347551,-0.8187015,-1.356029,-14.3813033
92,Belarus,BLR,2018,-0.1850613,-0.295147,0.3480572,-0.6494673,-0.830292,-1.366688,-12.1410913
93,Belarus,BLR,2019,-0.0375447,-0.1843532,0.3323891,-0.5432242,-0.7943493,-1.407983,-11.2569609
94,Belarus,BLR,2020,-0.1682376,-0.7293182,-0.7303549,-0.649549,-0.9959167,-1.458824,-18.442455099999997
95,Belgium,BEL,2016,1.574584,1.433041,0.4413673,1.340684,1.429943,1.377026,25.6092792
96,Belgium,BEL,2017,1.447792,1.278846,0.4281858,1.24688,1.358459,1.338482,24.068616199999997
97,Belgium,BEL,2018,1.466163,1.261865,0.4023501,1.268156,1.376737,1.318997,23.958820399999997
